word,canonical_lemma,chinese_translation,frequency_21215,review_count_21215,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative,nrc_unmapped
great,great,非常棒的 / 极好的,11541,8445,0,0,0,0,0,0,0,0,0,0,1
amazing,amazing,极其震撼赞叹的 / 太棒了,6251,5377,0,0,0,0,0,0,0,0,0,0,1
beautiful,beautiful,美丽绝伦的,3485,3174,0,0,0,0,1,0,0,0,1,0,0
best,best,最棒的 / 顶级的,3420,2977,0,0,0,0,0,0,0,0,0,0,1
friendly,friendly,友好的 / 亲切的,3416,3221,0,1,0,0,1,0,0,1,1,0,0
worth,worth,物有所值的 / 绝对值得的,2799,2678,0,0,0,0,0,0,0,0,1,0,0
wonderful,wonderful,精彩美妙的,2677,2457,0,0,0,0,1,0,1,1,1,0,0
good,good,良好的 / 棒的（服务与体验）,2635,2230,0,1,0,0,1,0,1,1,1,0,0
awesome,awesome,太棒了 / 极为赞叹的,2530,2344,0,0,0,0,0,0,0,0,0,0,1
excellent,excellent,卓越极佳的 / 顶级的,2284,2065,0,0,0,0,1,0,0,1,1,0,0
fantastic,fantastic,奇妙太棒的,2026,1875,0,0,0,0,0,0,0,0,0,0,1
nice,nice,美好的 / 良好的,1794,1586,0,0,0,0,0,0,0,0,0,0,1
fun,fun,乐趣十足的 / 充满乐趣的,1729,1575,0,1,0,0,1,0,0,0,1,0,0
spectacular,spectacular,壮观震撼的（高空景观）,1616,1566,0,1,0,0,0,0,1,0,0,0,0
incredible,incredible,难以置信震撼的,1612,1508,0,0,0,0,0,0,0,0,0,0,1
better,better,更好的 / 更满意的（超过预期）,1585,1431,0,0,0,0,0,0,0,0,0,0,1
perfect,perfect,完美的 / 无瑕的,1474,1340,0,1,0,0,1,0,0,1,1,0,0
loved,loved,喜爱 / 热爱（体验）,1473,1365,0,0,0,0,0,0,0,0,0,0,1
comfortable,comfortable,舒适的 / 安心的,1446,1372,0,0,0,0,0,0,0,0,0,0,1
breathtaking,breathtaking,令人屏息震撼的,1346,1328,0,0,0,0,0,0,0,0,0,0,1
helpful,helpful,热心有帮助的 / 周到解说,1157,1108,0,0,0,0,1,0,0,1,1,0,0
glad,glad,感到高兴放心的,897,856,0,1,0,0,1,0,0,0,1,0,0
interesting,interesting,引人入胜的 / 趣味盎然的,886,853,0,0,0,0,0,0,0,0,1,0,0
cool,cool,酷的 / 爽快的,652,606,0,0,0,0,0,0,0,0,1,0,0
special,special,特别的 / 珍贵的,631,574,0,0,0,0,1,0,0,0,1,0,0
lucky,lucky,感到幸运的,607,586,0,0,0,0,1,0,1,0,1,0,0
kind,kind,亲切的 / 友善的,587,565,0,0,0,0,1,0,0,1,1,0,0
memorable,memorable,令人终生难忘的,580,562,0,0,0,0,1,0,1,1,1,0,0
happy,happy,高兴的 / 快乐的,555,522,0,1,0,0,1,0,0,1,1,0,0
stunning,stunning,令人目眩震撼的,552,546,0,0,0,0,0,0,0,0,0,0,1
nervous,nervous,紧张的 / 焦虑不安的,513,486,0,1,0,1,0,0,0,0,0,1,0
fabulous,fabulous,绝妙的 / 极好的,508,486,0,0,0,0,0,0,0,0,0,0,1
disappointed,disappointed,感到失望的 / 遗憾的,488,475,1,0,1,0,0,1,0,0,0,1,0
outstanding,outstanding,杰出出色的,462,439,0,0,0,0,1,0,0,0,1,1,0
enjoyable,enjoyable,令人愉快的 / 趣味盎然的,460,446,0,0,0,0,0,0,0,0,0,0,1
unforgettable,unforgettable,令人难忘的 / 铭心的,459,455,0,0,0,0,0,0,0,0,0,0,1
love,love,喜爱 / 极度热爱的,450,430,0,0,0,0,1,0,0,0,1,0,0
unique,unique,独一无二的 / 独特的,435,412,0,0,0,0,0,0,1,0,1,0,0
gorgeous,gorgeous,极其漂亮的 / 绚丽的,414,406,0,0,0,0,1,0,0,0,1,0,0
scenic,scenic,风景优美的 / 宜人的,400,363,0,0,0,0,0,0,0,0,0,0,1
bad,bad,糟糕的 / 坏的,373,342,1,0,1,1,0,1,0,0,0,1,0
exciting,exciting,令人兴奋刺激的,324,315,0,1,0,0,1,0,1,0,1,0,0
incredibly,incredibly,难以置信地 / 极其,315,301,0,0,0,0,0,0,0,0,0,0,1
pleasant,pleasant,令人愉快的 / 宜人的,306,294,0,1,0,0,1,0,1,1,1,0,0
awe,awe,敬畏 / 震撼,304,303,0,0,0,0,0,0,0,0,0,0,1
