word,canonical_lemma,chinese_translation,emotion_category,frequency_21215,review_count_21215,example_context,in_nrc,in_vader
great,great,非常棒的 / 极好的,Unclassified,11541,8445,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g...",False,True
amazing,amazing,极其震撼赞叹的 / 太棒了,Unclassified,6251,5377,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,False,True
beautiful,beautiful,美丽绝伦的,Unclassified,3485,3174,review_8f653fd5222c1543cb44db55 :: My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we saw the beautiful canyon from above . Could not stop taking photos. When we arrived at th...,True,True
best,best,最棒的 / 顶级的,Unclassified,3420,2977,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...,False,True
friendly,friendly,友好的 / 亲切的,Unclassified,3416,3221,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g...",True,True
worth,worth,物有所值的 / 绝对值得的,Unclassified,2799,2678,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...,True,True
wonderful,wonderful,精彩美妙的,Unclassified,2677,2457,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu...",True,True
good,good,良好的 / 棒的（服务与体验）,Unclassified,2635,2230,review_9650dd6c136936de202ba6c4 :: This was a great day. The pilot did an awesome job after we hit severe turbulence over the Grand Canyon. The ground tour was great as well and in spite of less than perfect weather...,True,True
awesome,awesome,太棒了 / 极为赞叹的,Unclassified,2530,2344,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon....",False,True
excellent,excellent,卓越极佳的 / 顶级的,Unclassified,2284,2065,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...,True,True
fantastic,fantastic,奇妙太棒的,Unclassified,2026,1875,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo...",False,True
nice,nice,美好的 / 良好的,Unclassified,1794,1586,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu...",False,True
fun,fun,乐趣十足的 / 充满乐趣的,Unclassified,1729,1575,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...,True,True
spectacular,spectacular,壮观震撼的（高空景观）,Unclassified,1616,1566,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...,True,False
incredible,incredible,难以置信震撼的,Unclassified,1612,1508,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of...",False,False
better,better,更好的 / 更满意的（超过预期）,Unclassified,1585,1431,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ...",False,True
perfect,perfect,完美的 / 无瑕的,Unclassified,1474,1340,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am...",True,True
loved,loved,喜爱 / 热爱（体验）,Unclassified,1473,1365,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...,False,True
comfortable,comfortable,舒适的 / 安心的,Unclassified,1446,1372,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor...",False,True
breathtaking,breathtaking,令人屏息震撼的,Unclassified,1346,1328,"review_54ae3d1a9fed307fe80d18b3 :: Breathtaking experience!!! We do 100% recommend! 
The tour was amazing and the pilot was very friendly....",False,True
helpful,helpful,热心有帮助的 / 周到解说,Unclassified,1157,1108,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo...",True,True
glad,glad,感到高兴放心的,Joy / Happiness,897,856,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu...",True,True
