word,canonical_lemma,chinese_translation,frequency_21215,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
beautiful,beautiful,美丽绝伦的,3485,0,0,0,0,1,0,0,0
friendly,friendly,友好的 / 亲切的,3416,0,1,0,0,1,0,0,1
wonderful,wonderful,精彩美妙的,2677,0,0,0,0,1,0,1,1
good,good,良好的 / 棒的（服务与体验）,2635,0,1,0,0,1,0,1,1
excellent,excellent,卓越极佳的 / 顶级的,2284,0,0,0,0,1,0,0,1
fun,fun,乐趣十足的 / 充满乐趣的,1729,0,1,0,0,1,0,0,0
spectacular,spectacular,壮观震撼的（高空景观）,1616,0,1,0,0,0,0,1,0
perfect,perfect,完美的 / 无瑕的,1474,0,1,0,0,1,0,0,1
helpful,helpful,热心有帮助的 / 周到解说,1157,0,0,0,0,1,0,0,1
glad,glad,感到高兴放心的,897,0,1,0,0,1,0,0,0
special,special,特别的 / 珍贵的,631,0,0,0,0,1,0,0,0
lucky,lucky,感到幸运的,607,0,0,0,0,1,0,1,0
kind,kind,亲切的 / 友善的,587,0,0,0,0,1,0,0,1
memorable,memorable,令人终生难忘的,580,0,0,0,0,1,0,1,1
happy,happy,高兴的 / 快乐的,555,0,1,0,0,1,0,0,1
nervous,nervous,紧张的 / 焦虑不安的,513,0,1,0,1,0,0,0,0
disappointed,disappointed,感到失望的 / 遗憾的,488,1,0,1,0,0,1,0,0
outstanding,outstanding,杰出出色的,462,0,0,0,0,1,0,0,0
love,love,喜爱 / 极度热爱的,450,0,0,0,0,1,0,0,0
unique,unique,独一无二的 / 独特的,435,0,0,0,0,0,0,1,0
gorgeous,gorgeous,极其漂亮的 / 绚丽的,414,0,0,0,0,1,0,0,0
bad,bad,糟糕的 / 坏的,373,1,0,1,1,0,1,0,0
exciting,exciting,令人兴奋刺激的,324,0,1,0,0,1,0,1,0
pleasant,pleasant,令人愉快的 / 宜人的,306,0,1,0,0,1,0,1,1
regret,regret,遗憾 / 后悔,293,0,0,0,0,0,1,0,0
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,282,0,1,0,0,1,0,1,1
sick,sick,晕机的 / 身体不适的,274,0,0,1,0,0,1,0,0
lovely,lovely,令人愉悦的 / 可爱的,266,0,1,0,0,1,1,1,1
terrific,terrific,极好的 / 太棒了,260,0,0,0,0,0,1,0,0
efficient,efficient,高效省心的,215,0,1,0,0,0,0,0,1
entertaining,entertaining,引人入胜生动有趣的,210,0,1,0,0,1,0,0,0
surprised,surprised,感到惊喜惊讶的,196,0,0,0,0,0,0,1,0
