word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name,class_taxonomy,nrc_emotion
great,great,11541,非常棒的 / 极好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
amazing,amazing,6251,极其震撼赞叹的 / 太棒了,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
beautiful,beautiful,3485,美丽绝伦的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
best,best,3420,最棒的 / 顶级的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
friendly,friendly,3416,友好的 / 亲切的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worth,worth,2799,物有所值的 / 绝对值得的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
wonderful,wonderful,2677,精彩美妙的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
good,good,2635,良好的 / 棒的（服务与体验）,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
awesome,awesome,2530,太棒了 / 极为赞叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
excellent,excellent,2284,卓越极佳的 / 顶级的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fantastic,fantastic,2026,奇妙太棒的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nice,nice,1794,美好的 / 良好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fun,fun,1729,乐趣十足的 / 充满乐趣的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
spectacular,spectacular,1616,壮观震撼的（高空景观）,0. Direct NRC,Direct NRC Included (358 Words),2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
incredible,incredible,1612,难以置信震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
better,better,1585,更好的 / 更满意的（超过预期）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
perfect,perfect,1474,完美的 / 无瑕的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
