word,vader_score,star_rating,freq,nrc_group,color
great,3.1,4.931597633136095,8450,Joy,#2e7d32
amazing,2.8,4.959836370397918,5378,Joy,#2e7d32
beautiful,2.9,4.923827510229777,3177,Joy,#2e7d32
best,3.2,4.938317130405632,2983,Joy,#2e7d32
friendly,2.2,4.941012108040981,3221,Joy,#2e7d32
worth,0.9,4.917910447761194,2680,Joy,#2e7d32
wonderful,2.7,4.9482899022801305,2456,Joy,#2e7d32
good,1.9,4.803763440860215,2232,Joy,#2e7d32
awesome,3.1,4.959897610921502,2344,Joy,#2e7d32
excellent,2.7,4.953533397870281,2066,Joy,#2e7d32
fantastic,2.6,4.965333333333334,1875,Joy,#2e7d32
nice,1.8,4.832282471626734,1586,Joy,#2e7d32
fun,2.3,4.950538998097654,1577,Joy,#2e7d32
better,1.9,4.831703910614525,1432,Joy,#2e7d32
perfect,2.7,4.959701492537313,1340,Joy,#2e7d32
loved,2.9,4.943631039531478,1366,Joy,#2e7d32
comfortable,2.3,4.951166180758017,1372,Joy,#2e7d32
breathtaking,2.0,4.970632530120482,1328,CATE [Domain Lexicon],#ffd600
helpful,1.8,4.947653429602888,1108,Joy,#2e7d32
glad,2.0,4.924065420560748,856,Joy,#2e7d32
interesting,1.7,4.915492957746479,852,Joy,#2e7d32
cool,1.3,4.907590759075908,606,Joy,#2e7d32
special,1.7,4.9513043478260865,575,Joy,#2e7d32
lucky,1.8,4.931740614334471,586,Joy,#2e7d32
kind,2.4,4.837168141592921,565,Joy,#2e7d32
happy,2.7,4.879541108986616,523,Joy,#2e7d32
stunning,1.6,4.95970695970696,546,CATE [Domain Lexicon],#ffd600
nervous,-1.1,4.92,486,Fear,#d32f2f
fabulous,2.4,4.95687885010267,487,Joy,#2e7d32
disappointed,-2.1,4.494736842105263,475,Disgust,#6d4c41
outstanding,3.0,4.956719817767654,439,Joy,#2e7d32
enjoyable,1.9,4.885393258426967,445,Joy,#2e7d32
love,3.2,4.946511627906977,430,Joy,#2e7d32
gorgeous,3.0,4.925925925925926,405,Joy,#2e7d32
scenic,0.0,4.771978021978022,364,CATE [Domain Lexicon],#ffd600
bad,-2.5,4.43859649122807,342,Disgust,#6d4c41
exciting,2.2,4.936507936507937,315,Joy,#2e7d32
pleasant,2.3,4.877551020408164,294,Joy,#2e7d32
awe,0.0,4.957095709570957,303,CATE [Domain Lexicon],#ffd600
unbelievable,0.8,4.983221476510067,298,Sadness,#546e7a
funny,1.9,4.956521739130435,299,Joy,#2e7d32
hard,-0.4,4.726315789473684,285,Sadness,#546e7a
regret,-1.8,4.948275862068965,290,Sadness,#546e7a
magnificent,2.9,4.959558823529412,272,Joy,#2e7d32
sick,-2.3,4.758333333333334,240,Disgust,#6d4c41
lovely,2.8,4.903225806451613,248,Sadness,#546e7a
terrific,2.1,4.97165991902834,247,Sadness,#546e7a
calm,1.3,4.952191235059761,251,Joy,#2e7d32
impressed,2.1,4.92741935483871,248,Joy,#2e7d32
unfortunately,-1.4,4.48695652173913,230,Sadness,#546e7a
fortunate,1.9,4.956709956709957,231,Joy,#2e7d32
efficient,1.8,4.943396226415095,212,Trust,#1976d2
welcome,2.0,4.894230769230769,208,Joy,#2e7d32
entertaining,1.9,4.980769230769231,208,Joy,#2e7d32
inspiring,1.8,4.933333333333334,210,Joy,#2e7d32
superb,3.1,4.941798941798941,189,Joy,#2e7d32
surprised,0.9,4.860824742268041,194,Surprise,#7b1fa2
surprise,1.1,4.894444444444445,180,Fear,#d32f2f
fine,0.8,4.632183908045977,174,Joy,#2e7d32
brilliant,2.8,4.958579881656805,169,Joy,#2e7d32
ready,1.5,4.625,168,Anticipation,#f57c00
excited,1.4,4.75,160,Joy,#2e7d32
competent,1.3,4.938650306748467,163,Trust,#1976d2
relaxed,2.2,4.968354430379747,158,Joy,#2e7d32
hope,1.9,4.734177215189874,158,Joy,#2e7d32
perfectly,3.2,4.946308724832215,149,Joy,#2e7d32
interested,1.7,4.691780821917808,146,Disgust,#6d4c41
pleasure,2.7,4.973154362416107,149,Joy,#2e7d32
worried,-1.2,4.86986301369863,146,Sadness,#546e7a
scared,-1.9,4.934306569343065,137,Sadness,#546e7a
wrong,-2.1,4.568181818181818,132,Sadness,#546e7a
blessed,2.9,4.969465648854962,131,Joy,#2e7d32
pleased,1.9,4.922480620155039,129,Joy,#2e7d32
safely,2.2,4.821705426356589,129,Joy,#2e7d32
impressive,2.3,4.8062015503875966,129,Joy,#2e7d32
thrill,1.5,4.9523809523809526,126,Fear,#d32f2f
thrilling,2.1,4.959677419354839,124,Joy,#2e7d32
humor,1.1,4.943548387096774,124,Joy,#2e7d32
dream,1.0,4.88135593220339,118,Joy,#2e7d32
sorry,-0.3,4.666666666666667,123,Sadness,#546e7a
relaxing,2.2,4.974789915966387,119,Joy,#2e7d32
comfort,1.5,4.870689655172414,116,Joy,#2e7d32
disappoint,-1.7,4.932773109243698,119,Disgust,#6d4c41
amazed,2.2,4.9411764705882355,119,Joy,#2e7d32
fear,-2.2,4.96,116,Fear,#d32f2f
thrilled,1.9,4.910714285714286,112,Joy,#2e7d32
confidence,2.3,4.954128440366972,109,Fear,#d32f2f
difficult,-1.5,4.618181818181818,110,Fear,#d32f2f
honestly,2.0,4.743119266055046,109,Joy,#2e7d32
confident,2.2,4.944954128440367,109,Joy,#2e7d32
worry,-1.9,4.941747572815534,103,Sadness,#546e7a
positive,2.6,4.928571428571429,98,Joy,#2e7d32
surreal,0.0,4.959183673469388,98,CATE [Domain Lexicon],#ffd600
reassuring,1.7,4.958333333333333,96,Joy,#2e7d32
sweet,2.0,4.935483870967742,93,Joy,#2e7d32
luckily,2.3,4.89247311827957,93,Joy,#2e7d32
poor,-2.1,4.1208791208791204,91,Sadness,#546e7a
scary,-2.2,4.808510638297872,94,Sadness,#546e7a
enthusiastic,2.2,4.888888888888889,90,Joy,#2e7d32
exhilarating,1.7,4.966292134831461,89,Joy,#2e7d32
honest,2.3,4.592592592592593,81,Disgust,#6d4c41
lucked,1.9,4.988372093023256,86,Joy,#2e7d32
capable,1.6,4.903614457831325,83,Joy,#2e7d32
fascinating,2.5,4.890243902439025,82,Joy,#2e7d32
grateful,2.0,4.923076923076923,78,Joy,#2e7d32
delightful,2.8,4.962025316455696,79,Joy,#2e7d32
advantage,1.0,4.948717948717949,78,Joy,#2e7d32
assured,1.5,4.618421052631579,76,Trust,#1976d2
pride,1.4,4.907894736842105,76,Joy,#2e7d32
safer,1.8,4.974025974025974,77,Joy,#2e7d32
neat,2.0,4.8,75,Joy,#2e7d32
worthwhile,1.4,4.8108108108108105,74,Joy,#2e7d32
stable,1.2,4.8933333333333335,75,Trust,#1976d2
greatest,3.2,4.985915492957746,71,Joy,#2e7d32
ideal,2.4,4.803030303030303,66,Joy,#2e7d32
peaceful,2.2,4.971830985915493,71,Joy,#2e7d32
passion,2.0,5.0,60,Joy,#2e7d32
fears,-1.8,4.950819672131147,61,Sadness,#546e7a
gracious,2.6,4.966666666666667,60,Joy,#2e7d32
passionate,2.4,4.883333333333334,60,Joy,#2e7d32
considerate,1.9,4.966666666666667,60,Trust,#1976d2
joy,2.8,4.852459016393443,61,Joy,#2e7d32
entertained,1.7,4.95,60,Joy,#2e7d32
complimentary,1.9,4.910714285714286,56,Joy,#2e7d32
excitement,2.2,4.982456140350878,57,Joy,#2e7d32
nerves,-0.4,4.9298245614035086,57,Sadness,#546e7a
flawless,2.3,4.982758620689655,58,Joy,#2e7d32
disappointing,-2.2,2.78,57,Sadness,#546e7a
negative,-2.7,4.537037037037037,54,Sadness,#546e7a
thankful,2.7,4.982456140350878,57,Joy,#2e7d32
thoughtful,1.6,4.964285714285714,56,Trust,#1976d2
glorious,3.2,4.9818181818181815,55,Joy,#2e7d32
uncomfortable,-1.6,3.98,54,Fear,#d32f2f
fair,1.3,4.537037037037037,54,Joy,#2e7d32
noisy,-0.7,4.907407407407407,54,Anger,#b71c1c
remarkable,2.6,4.981132075471698,53,Joy,#2e7d32
cherish,1.6,5.0,53,Joy,#2e7d32
caring,2.2,4.826923076923077,52,Joy,#2e7d32
appreciation,2.3,4.980392156862745,51,Joy,#2e7d32
enthusiasm,1.9,4.923076923076923,52,Joy,#2e7d32
gentle,1.9,4.94,50,Joy,#2e7d32
strong,2.3,4.918367346938775,49,Joy,#2e7d32
trouble,-1.7,4.803921568627451,51,Sadness,#546e7a
disappointment,-2.3,4.145833333333333,48,Disgust,#6d4c41
nicer,1.9,4.588235294117647,51,Joy,#2e7d32
hoping,1.8,4.63265306122449,49,Joy,#2e7d32
happier,2.4,5.0,49,Joy,#2e7d32
satisfied,1.8,4.918367346938775,49,Joy,#2e7d32
delight,2.9,5.0,48,Joy,#2e7d32
terrible,-2.1,3.16,44,Disgust,#6d4c41
warmly,1.7,4.891304347826087,46,Joy,#2e7d32
easier,1.8,4.8,45,Joy,#2e7d32
friendliness,2.0,4.977777777777778,45,Joy,#2e7d32
relax,1.9,5.0,45,Joy,#2e7d32
terrified,-3.0,4.953488372093023,43,Sadness,#546e7a
encouraged,1.5,4.976744186046512,43,Joy,#2e7d32
happily,2.6,5.0,43,Joy,#2e7d32
beautifully,2.7,4.976744186046512,43,Joy,#2e7d32
calming,1.7,5.0,39,Joy,#2e7d32
adventurous,1.4,4.846153846153846,39,Joy,#2e7d32
charming,2.8,4.95,40,Joy,#2e7d32
responsive,1.5,4.875,40,Trust,#1976d2
nicest,2.2,4.9743589743589745,39,Joy,#2e7d32
worst,-3.1,2.82,39,Sadness,#546e7a
enjoyment,2.6,4.948717948717949,39,Joy,#2e7d32
greater,1.5,4.8108108108108105,37,Joy,#2e7d32
pleasantly,2.1,4.973684210526316,38,Joy,#2e7d32
stress,-1.8,4.921052631578948,38,Sadness,#546e7a
wonderfully,2.9,4.973684210526316,38,Joy,#2e7d32
worries,-1.8,4.894736842105263,38,Sadness,#546e7a
hopefully,1.7,4.837837837837838,37,Joy,#2e7d32
nicely,1.9,4.805555555555555,36,Joy,#2e7d32
cared,1.8,4.972972972972973,37,Joy,#2e7d32
delicious,2.7,5.0,35,Joy,#2e7d32
marvelous,2.9,4.9411764705882355,34,Joy,#2e7d32
humour,2.1,4.970588235294118,34,Joy,#2e7d32
superior,2.5,4.882352941176471,34,Joy,#2e7d32
picturesque,1.6,4.942857142857143,35,Joy,#2e7d32
surprisingly,1.2,4.9714285714285715,35,Surprise,#7b1fa2
humorous,1.6,4.942857142857143,35,Joy,#2e7d32
bother,-1.4,4.588235294117647,34,Sadness,#546e7a
anxious,-1.0,4.64,33,Fear,#d32f2f
anxiety,-0.7,4.96969696969697,33,Sadness,#546e7a
generous,2.3,4.911764705882353,34,Joy,#2e7d32
romantic,1.7,5.0,31,Joy,#2e7d32
sadly,-1.8,4.4375,32,Sadness,#546e7a
worse,-2.1,3.7096774193548385,31,Sadness,#546e7a
airsick,0.0,4.84375,32,CATE [Domain Lexicon],#ffd600
reassured,1.7,4.9375,32,Joy,#2e7d32
cute,2.0,4.8,30,Joy,#2e7d32
breathtakingly,0.0,5.0,30,CATE [Domain Lexicon],#ffd600
kindly,2.2,4.724137931034483,29,Joy,#2e7d32
delighted,2.3,5.0,29,Joy,#2e7d32
convinced,1.7,4.827586206896552,29,Trust,#1976d2
gladly,1.4,4.9655172413793105,29,Joy,#2e7d32
boring,-1.3,3.64,27,Sadness,#546e7a
sad,-2.1,4.206896551724138,29,Sadness,#546e7a
serene,2.0,4.928571428571429,28,Trust,#1976d2
splendor,3.0,4.962962962962963,27,Joy,#2e7d32
peace,2.5,5.0,27,Joy,#2e7d32
regrets,-1.5,4.962962962962963,27,Sadness,#546e7a
eager,1.5,4.769230769230769,26,Joy,#2e7d32
comforting,1.7,4.962962962962963,27,Joy,#2e7d32
hate,-2.7,4.576923076923077,26,Disgust,#6d4c41
mesmerizing,0.0,4.961538461538462,26,CATE [Domain Lexicon],#ffd600
upset,-1.6,3.47,23,Sadness,#546e7a
dangerous,-2.1,4.12,25,Fear,#d32f2f
ill,-1.8,4.217391304347826,23,Disgust,#6d4c41
laughing,2.2,5.0,24,Joy,#2e7d32
magnificence,2.4,4.958333333333333,24,Joy,#2e7d32
horrible,-2.5,2.31,22,Disgust,#6d4c41
calmed,1.6,4.909090909090909,22,Joy,#2e7d32
talented,2.3,5.0,22,Joy,#2e7d32
skeptical,-1.3,4.818181818181818,22,Sadness,#546e7a
tough,-0.5,4.5,22,Sadness,#546e7a
