word,canonical_lemma,frequency_21215,chinese_translation,raw_vader_score,raw_vader_status
great,great,11541,非常棒的 / 极好的,3.1,Direct VADER Included
amazing,amazing,6251,极其震撼赞叹的 / 太棒了,2.8,Direct VADER Included
beautiful,beautiful,3485,美丽绝伦的,2.9,Direct VADER Included
best,best,3420,最棒的 / 顶级的,3.2,Direct VADER Included
friendly,friendly,3416,友好的 / 亲切的,2.2,Direct VADER Included
worth,worth,2799,物有所值的 / 绝对值得的,0.9,Direct VADER Included
wonderful,wonderful,2677,精彩美妙的,2.7,Direct VADER Included
good,good,2635,良好的 / 棒的（服务与体验）,1.9,Direct VADER Included
awesome,awesome,2530,太棒了 / 极为赞叹的,3.1,Direct VADER Included
excellent,excellent,2284,卓越极佳的 / 顶级的,2.7,Direct VADER Included
fantastic,fantastic,2026,奇妙太棒的,2.6,Direct VADER Included
nice,nice,1794,美好的 / 良好的,1.8,Direct VADER Included
fun,fun,1729,乐趣十足的 / 充满乐趣的,2.3,Direct VADER Included
spectacular,spectacular,1616,壮观震撼的（高空景观）,0.0,Raw VADER Missed (0 Score)
incredible,incredible,1612,难以置信震撼的,0.0,Raw VADER Missed (0 Score)
better,better,1585,更好的 / 更满意的（超过预期）,1.9,Direct VADER Included
perfect,perfect,1474,完美的 / 无瑕的,2.7,Direct VADER Included
loved,loved,1473,喜爱 / 热爱（体验）,2.9,Direct VADER Included
comfortable,comfortable,1446,舒适的 / 安心的,2.3,Direct VADER Included
breathtaking,breathtaking,1346,令人屏息震撼的,2.0,Direct VADER Included
helpful,helpful,1157,热心有帮助的 / 周到解说,1.8,Direct VADER Included
glad,glad,897,感到高兴放心的,2.0,Direct VADER Included
interesting,interesting,886,引人入胜的 / 趣味盎然的,1.7,Direct VADER Included
cool,cool,652,酷的 / 爽快的,1.3,Direct VADER Included
special,special,631,特别的 / 珍贵的,1.7,Direct VADER Included
lucky,lucky,607,感到幸运的,1.8,Direct VADER Included
kind,kind,587,亲切的 / 友善的,2.4,Direct VADER Included
memorable,memorable,580,令人终生难忘的,0.0,Raw VADER Missed (0 Score)
happy,happy,555,高兴的 / 快乐的,2.7,Direct VADER Included
stunning,stunning,552,令人目眩震撼的,1.6,Direct VADER Included
nervous,nervous,513,紧张的 / 焦虑不安的,-1.1,Direct VADER Included
fabulous,fabulous,508,绝妙的 / 极好的,2.4,Direct VADER Included
disappointed,disappointed,488,感到失望的 / 遗憾的,-2.1,Direct VADER Included
outstanding,outstanding,462,杰出出色的,3.0,Direct VADER Included
enjoyable,enjoyable,460,令人愉快的 / 趣味盎然的,1.9,Direct VADER Included
unforgettable,unforgettable,459,令人难忘的 / 铭心的,0.0,Raw VADER Missed (0 Score)
love,love,450,喜爱 / 极度热爱的,3.2,Direct VADER Included
unique,unique,435,独一无二的 / 独特的,0.0,Raw VADER Missed (0 Score)
gorgeous,gorgeous,414,极其漂亮的 / 绚丽的,3.0,Direct VADER Included
scenic,scenic,400,风景优美的 / 宜人的,0.0,Raw VADER Missed (0 Score)
