user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo
Lucasvb,"Niteroi, RJ",5,Nov 2019,Passeio único!,"Fiz o passeio de 45 min com minha esposa e meu pai, todos nós adoramos. O valor investido não é pequeno, mas vale muito o passeio. Se conhecer o Grand Canyon através dos mirantes e diferentes pontos de vista do parque já é fantástico, sobrevoar e ""mergulhar"" no canyon dentro de um helicoptero é uma experiencia indescritível.",Unknown,0,2019-12-18,10-1549_Marverick Helicopter_attraction_review_2025-02-27,0
Ben Kebab,"Paris, France",4,,A beautiful flight in the setting sun,"The flight itself is really spectacular if the weather is with you. We enjoyed walking along the coast at sunset.
Things to improve: a nominative welcome. There you wait and at the last moment you fill out papers as if you were not registered.
Communication on board: you can barely hear what the pilot says, he makes no effort. Helmets are attached to the back of the seat limiting your movement.
The plane looks dilapidated",Unknown,0,2025-01-04,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Daniel J,,5,Nov 2024 • Couples,Best Experience Ever!!,"Best flight tour in Miami!! Great pilot and communication as well as the customer service super fast.
We really enjoyed and had a great time
Five Stars service⭐️⭐️⭐️⭐️⭐️Totally recommend it!!",Couples,0,2024-11-18,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Jay l,,5,Mar 2024 • Couples,Incredible Experience,"the service was awesome.. pilot had so much knowledge and was so friendly.
airplane is small Cessna 172 but it was nice.
everything went great and the accommodation 10/10",Couples,0,2024-04-01,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Jonna H,,5,Mar 2024 • Couples,Unforgettable experience,"This was an unforgettable experience, the pilot was really professional and had a safe way of operating.
I recommend this experience for everyone.",Couples,0,2024-03-10,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Demi H,,5,Feb 2024 • Couples,One of the best days ever !,One of the best experiences ever ! The pilot made the flight perfect and was extremely knowledgeable and made us feel really safe. We booked it at sunset and had the best views and made my 21st birthday unforgettable. Don’t hesitate to book the price is the cheapest in Miami the best tour ever !!!,Couples,0,2024-02-26,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Jaizam,"Saltillo, Mexico",5,,Amazing air tour,"Excellent experience and
Very good attention from the flight staff. We were served with efficiency and effectiveness. The views of Miami that we had were incredible, half an hour was enough to see all of Miami; The guide in Spanish is very complete.",Unknown,0,2024-01-02,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Mikaella N,,5,Nov 2023 • Couples,Best activity in Miami!!,"Our trip was beyond amazing, the guys at Eagles Air tours were really friendly and professional!! Our pilot was helpful and explained us everything throughout. We even got free pictures of our trip! 5 stars are not enough!",Couples,0,2023-11-25,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Abdelhalim B,,5,Nov 2023 • Couples,A special trip with a nice pilot,"It was a wonderful experience with the pilot. He was nice to us and carefully explained to us all the details of the trip. When we finished, I took a souvenir photo with him . We really enjoyed the trip. I hope to repeat it next time.",Couples,0,2023-11-22,12-392_Eagles AirLine_attraction_review_2025-02-27,1
Kadina A,,5,Nov 2023 • Solo,Great experience,"Great experience ! Worth the try and you won’t regret it . Diego was awesome , super nice and friendly . The view was amazing and ride was smooth.",Solo,0,2023-11-19,12-392_Eagles AirLine_attraction_review_2025-02-27,0
Lisa E,,1,Nov 2023 • Friends,Steer Clear!,"We were supposed to go on a 30 minute flight over Miami. It was raining and windy that day, si I called the company 3x to see if I should head out to the airport. NO response.  10 minutes before the flight, I emailed the company from the airport and they finally called me tonsay my flight was cancelled. I wasted $70 on an uber ride to the airport and almost the same amount to get back to south beach because of their poor communication",Friends,0,2023-11-16,12-392_Eagles AirLine_attraction_review_2025-02-27,0
