user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo,language,is_english,user_city,user_state,user_country,is_us_domestic,review_word_count,review_char_count,title_word_count,exclamation_count,uppercase_ratio,sentiment_polarity,sentiment_pos,sentiment_neg,safety_mention,helicopter_comparison,price_value_mention,coast_mention,canyon_mention,waterfall_mention,wildlife_mention,weather_mention,flight_crew_mention,ground_staff_mention,companion_mention,pilot_mention,staff_service_mention,guide_mention,pilot_service_mention,special_occasion,aircraft_type
fwildemann,"Gerlosberg, Austria",5,Jan 2020,Unglaubliches Erlebnis,"Unsere Tour war einfach traumhaft und absolut empfehlenswert! Unser Captain Bruce war wirklich erfahren, witzig und hat tolle, interessante Sachen über Kauai erzählt! Wir waren wirklich sehr begeistert.",Unknown,0,2020-02-02,Kauai Deluxe Sightseeing Flight,0,German,0,Gerlosberg,,Austria,0,28,202,2,2,0.039603960396039604,-0.855,0.0,0.244,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane
Louky01,,5,Dec 2019 • Family,Fantastique,"Que dire. Les paysages sont magnifiques, incroyables. La Napali Coast est vraiment à voir, des dizaines de chutes d’eau plus belles les unes que les autres, une forêt luxuriante et vierge.
Merci Bruce pour ce vol qui restera dans nos mémoires !",Family,0,2019-12-16,Kauai Deluxe Sightseeing Flight,1,French,0,,,Unknown,0,42,244,1,1,0.028688524590163935,-0.5093,0.0,0.078,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,Airplane
Steve4711,"Regenstauf, Germany",5,Sep 2019,Perfekter Rundflug,Wir haben uns den top-bewerteteten Rundflug auch gegönnt und waren begeistert. Natürlich ist die Begeisterung schon hauptsächlich der wunderschönen Insel geschuldet. Die Ausblicke sind unglaublich. Unser Pilot hat alles sehr schön erklärt und war super freundlich. Viel Spaß :),Unknown,0,2019-10-07,Kauai Deluxe Sightseeing Flight,0,German,0,Regenstauf,,Germany,0,39,277,2,0,0.039711191335740074,-0.7003,0.131,0.222,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane
Saundje,"Heiligenhaus, Germany",5,,Tolles Erlebnis über Kauai,"Der Rundflug über Kauai mit „Wings over Kauai“ bestätigt alle Erwartungen! Es war super! Unser Pilot Marcus war sehr nett, hat alle Gegenden und Sehenswürdigkeiten erklärt und den Flug erlebnisreich gestaltet. Wir hatten alle (5 Passagiere) einen tollen und einzigartigen Blick auf den Canyon, die Napali Küste, die Wasserfälle und mehr! Danke! Das war TOP.",Unknown,0,2019-08-17,Kauai Deluxe Sightseeing Flight,1,German,0,Heiligenhaus,,Germany,0,55,357,4,4,0.0700280112044818,-0.9454,0.086,0.275,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,Airplane
brigitte z,"Stuttgart, Germany",5,Aug 2019 • Couples,Super schönes Erlebnis,"Wenn ihr auf Kauai seid, dann gönnt euch dieses besondere Erlebnis. Der Blick auf die Insel ist einfach fantastisch und Captain Bruce ein erfahrener und sympatischer Pilot.",Couples,0,2019-08-05,Kauai Deluxe Sightseeing Flight,0,German,0,Stuttgart,,Germany,0,27,172,3,0,0.05232558139534884,-0.5994,0.0,0.13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane
Holger F,"Hamburg, Germany",5,,Toller Rundflug! Ideale Alternative zum Heli-Flug,"Wir (Familie, Kinder 9 und 15) haben den Rundflug sehr genossen. Kostet ca. halb so viel wie der Heli-Flug, ist viel komfortabler und bietet beste Ausblicke. Wir waren allein an Bord und wurden von Captain Marcus bestens betreut und mit Infos versorgt. Jederzeit wieder.",Unknown,0,2019-07-14,Kauai Deluxe Sightseeing Flight,0,German,0,Hamburg,,Germany,0,44,270,6,0,0.05185185185185185,0.4939,0.071,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane
Sev646,"Mandelieu-la-Napoule, France",5,Jan 2018 • Couples,Magnifiques paysages !!,"Une experience superbe ! un très bon accueil aussi ! Nous étions dans le ""Air Van 1"" avec Doug notre pilote. Le vol a duré 65 minutes, nous avions un casque avec de la musique hawaiienne. Les paysages sont vraiment magnifiques, l'avion ne bouge pas trop pour ceux qui appréhendent :) 
Le meilleur moment pour nous était lorsque nous survolions les falaises de Jurassic Park avec la musique du film !! quelle émotion ! au top
A la fin, nous avons eu un CD des musiques hawaiiennes avec notre photo en couverture devant l'avion, super souvenir !",Couples,0,2018-02-08,Kauai Deluxe Sightseeing Flight,0,French,0,Mandelieu-la-Napoule,,France,0,97,543,3,6,0.02394106813996317,0.871,0.101,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Airplane
TDF17000,"Niort, France",4,Jun 2023 • Family,Tout dépend ou vous etes placé dans l'hélicoptere !,"C'est à faire si vous etes au GRAND CANYON, le survol est magique, c'est grandiose. Nous étions 4 de notre famille et 2 allemandes, bien sur les meilleurs places sont les 3 devants, et les 2 arriéres à coté des portes vitrées....Moi j'etais au milieu, et payer le m^me prix que ceux qui ont un plus belle vue est frustrant, je n'ai pas pu profiter pleinement ! je comprends la problématique sécurité et répartition mais il devrait y avoir un tarif adapté en fonction de la place, car le spectacle n'est vraiment pas le meme !",Family,0,2023-07-09,10-1549_Marverick Helicopter_attraction_review_2025-02-27,0,French,0,Niort,,France,0,96,525,9,2,0.02666666666666667,0.6016,0.065,0.023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Helicopter
Sarah E,,5,May 2023 • Friends,Wunderbare Erfahrung,Wir hatten eine superschöne Zeit! Unser Pilot John war total nett und konnte uns auch während dem Flug viele interessante Fakten erzählen. Wir würden es definitiv nochmal machen. 😊,Friends,0,2023-05-26,10-1549_Marverick Helicopter_attraction_review_2025-02-27,0,German,0,,,Unknown,0,29,180,2,1,0.044444444444444446,-0.636,0.0,0.134,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Helicopter
urlauber,deutschland,4,Jul 2022,Toller Flug,"Der Flug hat uns sehr gut gefallen, zwei von uns saßen vorne und eine Person am Fenster. Das war alles gut. Der Pilot ist gut geflogen, hat alles erklärt - konnten tolle Fotos und Videos machen.
Mit dem Flug waren wir sehr zufrieden.
Aber um die volle Bewertung zu bekommen, müsste das Personal am Boden etwas freundlicher, zugänglicher und zugewandter werden.",Unknown,0,2022-10-24,10-1549_Marverick Helicopter_attraction_review_2025-02-27,0,German,0,deutschland,,Unknown,0,61,360,2,0,0.041666666666666664,-0.8316,0.0,0.119,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Helicopter
