word,raw,count,mean_rating,mean_polarity,dimension
worth,worth (值得/划算),3011,4.919628030554633,0.9050245101295251,Perceived Value & Flexibility
small,small (小型的/紧凑的),1483,4.864463924477411,0.9082494268374915,Cabin Facilities & Comfort
interesting,interesting (有趣的/引人入胜的),860,4.916279069767442,0.9390144186046512,Psychological Thrill & Service Friction
cool,cool (酷炫的/棒的),638,4.901253918495298,0.9263001567398119,Psychological Thrill & Service Friction
extra,extra (额外的/附加体验),540,4.87962962962963,0.9093353703703704,Perceived Value & Flexibility
ease,ease (轻松/平稳自如),419,4.978520286396181,0.940736754176611,Cabin Facilities & Comfort
personable,personable (平易近人的/亲切的),418,4.9688995215311005,0.923327990430622,Pilot & Service Quality
completely,completely (完全地/彻底地),326,4.751533742331288,0.8675018404907976,Cabin Facilities & Comfort
unbelievable,unbelievable (未翻译),349,4.982808022922636,0.8893593123209168,Aerial Scenery & Environment
calm,calm (未翻译),252,4.9523809523809526,0.9561043650793649,Cabin Facilities & Comfort
skilled,skilled (技术熟练的/专业的),240,4.954166666666667,0.90825125,Pilot & Service Quality
choice,choice (明智的选择),257,4.8949416342412455,0.9129727626459143,Perceived Value & Flexibility
courteous,courteous (礼貌有礼的),240,4.945833333333334,0.9501541666666667,Pilot & Service Quality
fortunate,fortunate (幸运的),233,4.957081545064377,0.9601343347639485,Psychological Thrill & Service Friction
interest,interest (兴趣/看点),228,4.921052631578948,0.9454864035087719,Psychological Thrill & Service Friction
absolute,absolute (绝对的/完美的),267,4.936329588014981,0.8452535580524345,Psychological Thrill & Service Friction
organized,organized (组织良好的/有序的),219,4.863013698630137,0.8877904109589041,Cabin Facilities & Comfort
sense,sense (感知/安全感),206,4.912621359223301,0.9394082524271845,Cabin Facilities & Comfort
superb,superb (极好的/卓越的),225,4.946666666666666,0.9316728888888889,Psychological Thrill & Service Friction
forward,forward (期待/前向视角),178,4.556179775280899,0.8301089887640449,Psychological Thrill & Service Friction
cold,cold (寒冷的/高空气温),170,4.847058823529411,0.9422858823529412,Cabin Facilities & Comfort
noise,noise (噪音/降噪耳机),166,4.873493975903615,0.9249253012048193,Cabin Facilities & Comfort
cheap,cheap (划算/价格适中),134,4.873134328358209,0.868120895522388,Perceived Value & Flexibility
wrong,wrong (偏差/纠错),134,4.559701492537314,0.7694171641791044,Psychological Thrill & Service Friction
strongly,strongly (强烈推荐),129,4.891472868217054,0.9444875968992248,Perceived Value & Flexibility
standing,standing (伫立/空中悬停),128,4.7109375,0.88528359375,Psychological Thrill & Service Friction
actual,actual (实际的/真实的),125,4.632,0.8545535999999999,Cabin Facilities & Comfort
polite,polite (礼貌客气的),125,4.832,0.8635136,Pilot & Service Quality
working,working (良好运转/工作),121,4.570247933884297,0.8645115702479339,Pilot & Service Quality
major,major (主要的/重大看点),120,4.85,0.8988208333333334,Psychological Thrill & Service Friction
attention,attention (关照/注重细节),116,4.956896551724138,0.9089612068965518,Pilot & Service Quality
question,question (解答问题),112,4.910714285714286,0.8797267857142858,Psychological Thrill & Service Friction
overcast,overcast (多云/阴天天气),110,4.745454545454545,0.8821863636363636,Psychological Thrill & Service Friction
contact,contact (联系/预订沟通),108,4.601851851851852,0.8331296296296297,Pilot & Service Quality
accessible,accessible (易达的/方便的),105,4.876190476190477,0.9207133333333334,Psychological Thrill & Service Friction
inaccessible,inaccessible (陆路不可达的),87,4.9655172413793105,0.9115413793103451,Cabin Facilities & Comfort
effort,effort (付出/精心安排),86,4.6976744186046515,0.8898744186046512,Psychological Thrill & Service Friction
spirit,spirit (精神/氛围),87,4.839080459770115,0.8432827586206897,Cabin Facilities & Comfort
fascinating,fascinating (引人入胜的),85,4.882352941176471,0.9507564705882353,Psychological Thrill & Service Friction
capture,capture (捕捉照片/摄影),81,4.839506172839506,0.8979246913580247,Psychological Thrill & Service Friction
grateful,grateful (感激的),81,4.925925925925926,0.9334580246913581,Psychological Thrill & Service Friction
advantage,advantage (优势/空中视野优势),79,4.949367088607595,0.9583392405063292,Perceived Value & Flexibility
priceless,priceless (无价的/极为珍贵),85,5.0,0.8757141176470586,Aerial Scenery & Environment
afford,afford (负担得起/物有所值),76,4.907894736842105,0.8631552631578946,Perceived Value & Flexibility
balance,balance (平衡/稳健平稳),73,4.575342465753424,0.8775986301369865,Cabin Facilities & Comfort
delayed,delayed (延迟/因天气顺延),74,4.445945945945946,0.7314945945945946,Psychological Thrill & Service Friction
crystal,crystal (清澈的/晶莹剔透),73,4.972602739726027,0.9446,Aerial Scenery & Environment
epic,epic (史诗级的/壮丽的),105,4.9714285714285715,0.9043838095238097,Aerial Scenery & Environment
agree,agree (赞同/认同好评),72,4.944444444444445,0.9413666666666667,Psychological Thrill & Service Friction
grandeur,grandeur (壮丽/雄伟地貌),74,4.905405405405405,0.921958108108108,Aerial Scenery & Environment
extraordinary,extraordinary (非凡的/卓越的),75,4.973333333333334,0.8912213333333333,Psychological Thrill & Service Friction
convenient,convenient (方便快捷的),61,4.704918032786885,0.8555639344262295,Psychological Thrill & Service Friction
gracious,gracious (亲切体贴的),61,4.967213114754099,0.9423852459016394,Pilot & Service Quality
hospitality,hospitality (热情好客),63,4.984126984126984,0.9579714285714284,Pilot & Service Quality
culture,culture (文化/历史解说),57,5.0,0.9372210526315791,Psychological Thrill & Service Friction
fair,fair (公道的/合理定价),57,4.526315789473684,0.8583456140350877,Perceived Value & Flexibility
uncomfortable,uncomfortable (身体不适/颠簸),55,3.981818181818182,0.5334763636363637,Psychological Thrill & Service Friction
lack,lack (缺乏/美中不足),46,3.847826086956522,0.5218826086956523,Psychological Thrill & Service Friction
careful,careful (谨慎平稳驾驶),46,4.586956521739131,0.8300260869565215,Pilot & Service Quality
flexibility,flexibility (灵活协调/退改),43,4.8604651162790695,0.9248999999999999,Perceived Value & Flexibility
decent,decent (尚可的/体面的),42,4.309523809523809,0.8367785714285713,Perceived Value & Flexibility
seasoned,seasoned (经验丰富的),40,5.0,0.952755,Pilot & Service Quality
charming,charming (迷人的),40,4.95,0.9452300000000001,Psychological Thrill & Service Friction
adventurous,adventurous (富有冒险精神的),39,4.846153846153846,0.9487948717948718,Psychological Thrill & Service Friction
extensive,extensive (丰富的飞行经验),39,4.897435897435898,0.9120538461538461,Psychological Thrill & Service Friction
touched,touched (感动/深有感触),42,4.904761904761905,0.9062452380952379,Psychological Thrill & Service Friction
stress,stress (解压/无压力出行),39,4.923076923076923,0.9336589743589742,Psychological Thrill & Service Friction
greater,greater (更优质的视角),39,4.82051282051282,0.845846153846154,Psychological Thrill & Service Friction
kindness,kindness (友善体贴),37,4.891891891891892,0.9090270270270271,Pilot & Service Quality
impression,impression (深刻印象),38,4.526315789473684,0.794971052631579,Psychological Thrill & Service Friction
superior,superior (优越的/顶级的),42,4.904761904761905,0.8888619047619047,Pilot & Service Quality
solid,solid (扎实的/可靠的技术),37,4.891891891891892,0.9344864864864865,Pilot & Service Quality
