word,raw_label,count,mean_rating,raw_vader_score
worth,worth (值得/划算),3012,4.919654714475431,0.9
small,small (小型的/紧凑的),1481,4.8649561107359895,0.0
interesting,interesting (有趣的/引人入胜的),860,4.916279069767442,1.7
cool,cool (酷炫的/棒的),636,4.900943396226415,1.3
extra,extra (额外的/附加体验),533,4.879924953095685,0.0
ease,ease (轻松/平稳自如),419,4.978520286396181,1.5
personable,personable (平易近人的/亲切的),418,4.9688995215311005,0.0
completely,completely (完全地/彻底地),326,4.751533742331288,0.0
unbelievable,unbelievable (难以置信的/超乎想象的),348,4.982758620689655,0.8
calm,calm (平静镇定的/从容的),252,4.9523809523809526,1.3
skilled,skilled (操控熟练的/专业的),240,4.954166666666667,0.0
choice,choice (明智的选择/契合的决策),257,4.8949416342412455,0.0
courteous,courteous (礼貌客气的/有礼的),240,4.945833333333334,2.3
fortunate,fortunate (幸运的/有幸体验的),233,4.957081545064377,1.9
interest,interest (兴趣/看点),228,4.921052631578948,2.0
absolute,absolute (绝对的/完美的),261,4.934865900383142,0.0
organized,organized (组织良好的/有序的),219,4.863013698630137,0.0
sense,sense (心理感知/安全感),206,4.912621359223301,0.0
superb,superb (极好的/卓越的),225,4.946666666666666,3.1
forward,forward (前向视角/期待视角),178,4.556179775280899,0.0
cold,cold (高空微凉/客舱气温),170,4.847058823529411,0.0
noise,noise (噪音/降噪耳机),166,4.873493975903615,0.0
cheap,cheap (实惠划算的/价格亲民的),133,4.87218045112782,0.0
wrong,wrong (偏差/偏差纠错),134,4.559701492537314,-2.1
strongly,strongly (强烈推荐),129,4.891472868217054,1.1
standing,standing (空中悬停/飞行姿态),128,4.7109375,0.0
actual,actual (真实体验/实际的),125,4.632,0.0
polite,polite (礼貌周到的),125,4.832,0.0
working,working (设备良好运转的),121,4.570247933884297,0.0
major,major (核心亮点/主要看点),120,4.85,0.0
attention,attention (关照/注重细节),112,4.955357142857143,0.0
question,question (互动解答/解答疑问),110,4.927272727272728,0.0
overcast,overcast (多云天色的/阴天的),110,4.745454545454545,0.0
contact,contact (预订沟通/联系客服),107,4.598130841121495,0.0
accessible,accessible (便捷易达的),105,4.876190476190477,0.0
inaccessible,inaccessible (陆路不可达的/观光独特性),86,4.965116279069767,0.0
effort,effort (用心安排/商家付出),85,4.694117647058824,0.0
spirit,spirit (情绪氛围/精神感悟),80,4.8625,0.7
fascinating,fascinating (令人着迷的/吸睛的),85,4.882352941176471,2.5
capture,capture (捕捉照片/定格瞬间),81,4.839506172839506,0.0
grateful,grateful (感激的/感恩的),81,4.925925925925926,2.0
advantage,advantage (低空视角优势),79,4.949367088607595,1.0
priceless,priceless (无价的/珍贵的),84,5.0,0.0
afford,afford (负担得起的/物有所值),76,4.907894736842105,0.0
balance,balance (姿态平衡/飞行平稳),72,4.569444444444445,0.0
delayed,delayed (顺延/因天气延迟),74,4.445945945945946,-0.9
crystal,crystal (晶莹剔透的/水质清澈的),73,4.972602739726027,0.0
epic,epic (史诗级的/震撼的),105,4.9714285714285715,0.0
agree,agree (高度认同/一致赞同),72,4.944444444444445,1.5
grandeur,grandeur (雄伟壮丽的地貌),72,4.902777777777778,2.4
extraordinary,extraordinary (非凡卓越的),75,4.973333333333334,0.0
convenient,convenient (方便快捷的),61,4.704918032786885,0.0
gracious,gracious (亲切体贴的),61,4.967213114754099,2.6
