Variable,Coef_ABSA_Baseline,StdErr_ABSA_Baseline,PValue_ABSA_Baseline
Intercept,4.7751,0.0113,0.0
pilot_pos,0.0852,0.0068,0.0
pilot_neg,-0.5226,0.0713,0.0
weather_pos,0.0251,0.0088,0.0045
weather_neg,-0.14,0.0381,0.0002
ground_staff_pos,0.0282,0.0081,0.0005
ground_staff_neg,-0.5676,0.1066,0.0
price_value_pos,0.0146,0.0082,0.0755
price_value_neg,-0.6644,0.0862,0.0
scenery_pos,0.0763,0.0072,0.0
scenery_neg,-0.0744,0.0433,0.086
safety_assurance,0.0773,0.0063,0.0
fear_anxiety,0.0759,0.014,0.0
word_count_std,-0.0897,0.007,0.0
is_us_domestic,0.0237,0.0065,0.0003
