word,chinese_translation,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
great,非常棒的 / 极好的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),11541,8445,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
amazing,极其震撼赞叹的 / 太棒了,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),6251,5377,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
beautiful,美丽绝伦的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),3485,3174,review_8f653fd5222c1543cb44db55 :: My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we saw the beautiful canyon from above . Could not stop taking photos. When we arrived at th...
best,最棒的 / 顶级的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),3420,2977,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
friendly,友好的 / 亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),3416,3221,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
worth,物有所值的 / 绝对值得的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2799,2678,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
knowledgeable,博学的 / 专业的,E1_E2_Candidate,Stage 1 (500 Discovery),2758,2732,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
wonderful,精彩美妙的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2677,2457,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu..."
good,良好的 / 棒的（服务与体验）,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2635,2230,review_9650dd6c136936de202ba6c4 :: This was a great day. The pilot did an awesome job after we hit severe turbulence over the Grand Canyon. The ground tour was great as well and in spite of less than perfect weather...
grand,宏大的 / 壮丽的,E1_E2_Candidate,Stage 1 (500 Discovery),2534,1850,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
awesome,太棒了 / 极为赞叹的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2530,2344,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
excellent,卓越极佳的 / 顶级的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2284,2065,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
fantastic,奇妙太棒的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2026,1875,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
informative,引人入胜干货满满的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1932,1898,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
nice,美好的 / 良好的,E1_E2_Candidate,Stage 1 (500 Discovery),1794,1586,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu..."
fun,乐趣十足的 / 充满乐趣的,E1_E2_Polysemous (State & Appraisal),Stage 1 (500 Discovery),1729,1575,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
safe,安全放心的 / 感到安心平稳,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1647,1572,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
spectacular,壮观震撼的（高空景观）,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1616,1566,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
incredible,难以置信震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1612,1508,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of..."
better,更好的 / 更满意的（超过预期）,E1_E2_Candidate,Stage 1 (500 Discovery),1585,1431,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
enjoyed,享受 / 乐在其中,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1506,1436,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
perfect,完美的 / 无瑕的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1474,1340,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
