phrase,total_mentions,review_count,review_percentage
highly recommend,3347,3262,14.67
glacier landing,2844,2196,9.88
grand canyon,2746,1734,7.8
way see,2037,1835,8.25
wings kauai,1754,1253,5.64
great experience,1455,1354,6.09
amazing experience,1332,1239,5.57
gave us,1216,1142,5.14
air ventures,1088,792,3.56
talkeetna air,993,792,3.56
would highly,991,985,4.43
would recommend,885,874,3.93
air tour,880,731,3.29
air taxi,879,720,3.24
worth every,874,837,3.76
well worth,862,844,3.8
pilot great,855,852,3.83
highlight trip,820,777,3.49
helicopter tour,813,706,3.18
great pilot,766,757,3.4
great way,723,678,3.05
landing glacier,707,673,3.03
tour guide,705,677,3.04
best way,696,648,2.91
highly recommended,680,663,2.98
every penny,679,649,2.92
great time,675,647,2.91
great flight,668,631,2.84
small plane,666,633,2.85
lifetime experience,640,612,2.75
amazing views,638,612,2.75
plane ride,614,566,2.55
definitely recommend,604,597,2.68
great views,601,574,2.58
see island,596,554,2.49
wonderful experience,585,558,2.51
would definitely,580,574,2.58
pilot knowledgeable,579,579,2.6
took us,572,542,2.44
great tour,560,534,2.4
recommend tour,548,547,2.46
made sure,523,499,2.24
see kauai,521,488,2.19
mt mckinley,517,416,1.87
able see,517,492,2.21
k2 aviation,512,422,1.9
awesome experience,509,492,2.21
great job,501,492,2.21
bucket list,501,457,2.06
customer service,496,443,1.99
felt safe,495,492,2.21
misty fjords,491,376,1.69
flight smooth,491,490,2.2
made us,486,471,2.12
na pali,483,441,1.98
recommend anyone,481,479,2.15
us feel,476,461,2.07
ruth glacier,464,427,1.92
first time,460,434,1.95
worth money,460,451,2.03
could see,458,437,1.97
helicopter ride,455,408,1.83
tour kauai,454,422,1.9
got see,452,436,1.96
motion sickness,445,391,1.76
never forget,445,433,1.95
kauai air,444,408,1.83
make sure,435,420,1.89
land glacier,434,407,1.83
waimea canyon,423,415,1.87
flight seeing,421,361,1.62
helicopter tours,420,382,1.72
amazing flight,408,394,1.77
napali coast,405,369,1.66
told us,399,377,1.7
pali coast,395,370,1.66
one best,389,377,1.7
see denali,382,358,1.61
san francisco,378,289,1.3
flight great,377,370,1.66
pilot friendly,375,373,1.68
