word_or_phrase,total_mentions,review_count,review_percentage
pilot,16482,13284,59.74
plane,7785,5419,24.37
kauai,7434,3998,17.98
views,6788,5685,25.57
air,6742,4704,21.16
glacier,6255,3864,17.38
island,6222,4102,18.45
canyon,5524,2825,12.71
landing,5512,4067,18.29
denali,4787,3215,14.46
best,4774,3880,17.45
beautiful,4029,3516,15.81
helicopter,3742,2618,11.77
weather,3678,2874,12.93
ride,3583,2767,12.44
friendly,3527,3272,14.72
take,3462,2872,12.92
grand,3459,2308,10.38
worth,3302,3012,13.55
well,3288,2846,12.8
flying,3252,2742,12.33
view,3226,2747,12.35
around,2998,2537,11.41
bruce,2956,1545,6.95
even,2934,2547,11.45
could,2903,2402,10.8
excellent,2878,2495,11.22
glacier landing,2854,2202,9.9
knowledgeable,2790,2755,12.39
grand canyon,2746,1734,7.8
fantastic,2741,2397,10.78
much,2736,2363,10.63
smooth,2648,2472,11.12
alaska,2638,2064,9.28
staff,2631,2426,10.91
fly,2501,2139,9.62
must,2407,2151,9.67
able,2294,1972,8.87
first,2252,1950,8.77
seeing,2199,1968,8.85
professional,2186,2056,9.25
flew,2146,1894,8.52
talkeetna,2109,1568,7.05
k2,2095,1353,6.09
everyone,2094,1898,8.54
every,2086,1887,8.49
fun,2063,1803,8.11
wings,2026,1411,6.35
area,1991,1711,7.7
spectacular,1968,1800,8.1
informative,1968,1923,8.65
company,1968,1635,7.35
guide,1967,1796,8.08
incredible,1966,1737,7.81
highlight,1922,1778,8.0
nice,1899,1650,7.42
family,1898,1587,7.14
booked,1879,1689,7.6
service,1873,1583,7.12
gave,1870,1694,7.62
lifetime,1818,1670,7.51
sure,1784,1616,7.27
wings kauai,1754,1253,5.64
breathtaking,1751,1630,7.33
better,1725,1532,6.89
de,1706,550,2.47
safe,1700,1603,7.21
everything,1699,1542,6.94
small,1678,1483,6.67
perfect,1676,1468,6.6
never,1645,1491,6.71
mountains,1642,1425,6.41
absolutely,1639,1514,6.81
people,1637,1415,6.36
many,1634,1439,6.47
little,1626,1411,6.35
felt,1612,1484,6.67
loved,1597,1455,6.54
mountain,1589,1261,5.67
enjoyed,1525,1448,6.51
thank,1513,1406,6.32
ever,1512,1373,6.17
hour,1491,1305,5.87
wife,1482,1237,5.56
comfortable,1462,1382,6.22
adventure,1443,1261,5.67
husband,1439,1212,5.45
taking,1416,1311,5.9
whole,1403,1282,5.77
seat,1397,1125,5.06
entire,1379,1255,5.64
pictures,1377,1220,5.49
land,1359,1199,5.39
scenery,1359,1267,5.7
eric,1357,1059,4.76
feel,1354,1264,5.68
super,1325,1154,5.19
two,1294,1136,5.11
money,1278,1172,5.27
lot,1270,1164,5.23
tours,1266,1094,4.92
thanks,1239,1181,5.31
anyone,1235,1201,5.4
enough,1221,1134,5.1
things,1178,1067,4.8
right,1176,1011,4.55
sights,1176,1064,4.79
top,1172,1058,4.76
clear,1167,1081,4.86
helpful,1166,1115,5.01
coast,1161,1017,4.57
maui,1130,821,3.69
price,1118,1025,4.61
part,1115,1021,4.59
minute,1109,1007,4.53
landed,1107,1051,4.73
job,1106,1054,4.74
next,1097,975,4.38
going,1096,1001,4.5
information,1092,1033,4.65
ventures,1092,794,3.57
photos,1089,964,4.34
air ventures,1088,792,3.56
minutes,1086,898,4.04
different,1083,983,4.42
provided,1082,975,4.38
close,1079,994,4.47
book,1077,948,4.26
safety,1070,975,4.38
due,1067,949,4.27
glaciers,1065,934,4.2
history,1049,1011,4.55
another,1039,937,4.21
truly,1033,953,4.29
say,1018,947,4.26
wanted,1013,925,4.16
mt,998,789,3.55
airport,997,777,3.49
talkeetna air,993,792,3.56
ellen,991,689,3.1
bit,980,884,3.98
10,968,772,3.47
cruise,966,765,3.44
taxi,950,779,3.5
beauty,945,891,4.01
waterfalls,942,882,3.97
done,940,867,3.9
visit,935,867,3.9
easy,931,856,3.85
want,927,865,3.89
glad,927,877,3.94
questions,926,877,3.94
window,907,807,3.63
la,906,354,1.59
side,905,703,3.16
still,903,821,3.69
aviation,903,738,3.32
check,900,833,3.75
told,897,738,3.32
interesting,896,860,3.87
know,894,824,3.71
extremely,892,832,3.74
experienced,891,865,3.89
front,888,767,3.45
pilots,888,820,3.69
air taxi,879,720,3.24
worth every,874,837,3.76
park,865,698,3.14
well worth,865,847,3.81
life,863,785,3.53
decided,863,800,3.6
last,862,772,3.47
thing,860,791,3.56
seen,852,792,3.56
und,847,268,1.21
water,841,731,3.29
airplane,840,716,3.22
vacation,838,760,3.42
en,828,338,1.52
excursion,827,704,3.17
clouds,825,715,3.22
seaplane,818,604,2.72
mckinley,817,616,2.77
wow,804,663,2.98
aircraft,802,651,2.93
ground,793,726,3.27
passengers,778,685,3.08
hawaii,774,652,2.93
group,769,660,2.97
morning,767,673,3.03
along,767,701,3.15
booking,760,701,3.15
josh,752,500,2.25
maverick,742,523,2.35
something,731,674,3.03
30,727,638,2.87
miami,726,430,1.93
planes,724,653,2.94
years,721,683,3.07
landing glacier,720,683,3.07
penny,718,684,3.08
commentary,713,682,3.07
rim,713,490,2.2
said,710,605,2.72
looking,710,667,3.0
times,709,668,3.0
cool,708,644,2.9
end,707,655,2.95
helicopters,705,597,2.68
year,695,592,2.66
list,688,628,2.82
think,686,627,2.82
captain,683,543,2.44
fabulous,682,627,2.82
knowledge,681,668,3.0
cost,681,634,2.85
lots,680,636,2.86
every penny,679,649,2.92
le,676,253,1.14
stunning,674,642,2.89
flights,674,596,2.68
taken,671,625,2.81
arrived,671,608,2.73
days,670,630,2.83
without,669,636,2.86
private,669,605,2.72
fjords,667,465,2.09
small plane,666,633,2.85
seats,665,507,2.28
islands,664,591,2.66
forget,664,631,2.84
short,661,592,2.66
sky,661,619,2.78
memorable,660,625,2.81
left,660,569,2.56
give,660,615,2.77
special,659,598,2.69
getting,658,615,2.77
full,658,624,2.81
though,656,621,2.79
long,656,594,2.67
since,653,582,2.62
miss,650,605,2.72
misty,640,479,2.15
perspective,637,601,2.7
river,636,438,1.97
customer,633,557,2.51
couple,632,592,2.66
old,632,558,2.51
personal,631,571,2.57
hours,631,548,2.46
un,630,323,1.45
pilot knowledgeable,629,629,2.83
visiting,627,599,2.69
die,623,250,1.12
plane ride,623,574,2.58
outstanding,621,567,2.55
lucky,617,593,2.67
flightseeing,616,537,2.42
unforgettable,616,570,2.56
point,614,541,2.43
kind,613,589,2.65
son,611,477,2.15
far,610,585,2.63
knew,608,577,2.6
put,607,585,2.63
snow,603,498,2.24
come,601,567,2.55
spent,599,572,2.57
big,597,539,2.42
