phrase,total_mentions,review_count,review_percentage
talkeetna air taxi,812,670,3.01
did great job,420,414,1.86
na pali coast,382,359,1.61
tour glacier landing,331,314,1.41
highly recommend tour,327,327,1.47
flight glacier landing,256,246,1.11
experience highly recommend,240,240,1.08
air ventures hawaii,212,178,0.8
denali glacier landing,199,193,0.87
way grand canyon,188,170,0.76
pilot tour guide,186,184,0.83
denali national park,186,172,0.77
recommend wings kauai,179,177,0.8
highly recommend company,169,168,0.76
grand denali tour,167,155,0.7
maui plane rides,155,137,0.62
flight seeing tour,149,136,0.61
landing ruth glacier,141,137,0.62
flight grand canyon,140,136,0.61
tour grand canyon,136,133,0.6
great way island,133,129,0.58
pilot did great,131,131,0.59
highly recommend trip,130,130,0.58
golden gate bridge,125,116,0.52
glacier landing flight,117,111,0.5
air tour kauai,116,112,0.5
great tour guide,115,115,0.52
recommend air ventures,114,111,0.5
highlight trip alaska,111,107,0.48
highly recommend wings,110,109,0.49
best way kauai,108,103,0.46
birds eye view,102,100,0.45
bird eye view,101,100,0.45
denali tour glacier,97,92,0.41
glacier landing tour,95,91,0.41
trip grand canyon,94,88,0.4
great way kauai,92,88,0.4
trip highly recommend,91,91,0.41
flight wings kauai,91,88,0.4
pilot friendly knowledgeable,91,91,0.41
glacier landing worth,90,89,0.4
best thing did,90,82,0.37
best way island,87,85,0.38
tour highly recommend,86,86,0.39
able land glacier,86,83,0.37
flying small plane,85,85,0.38
highly recommend experience,85,85,0.38
great customer service,84,82,0.37
did excellent job,83,83,0.37
sit pilot seat,83,82,0.37
tour wings kauai,83,83,0.37
highly recommend k2,81,81,0.36
flight highly recommend,81,81,0.36
beautiful island kauai,81,80,0.36
landed ruth glacier,81,80,0.36
highlight alaska trip,81,81,0.36
did glacier landing,80,80,0.36
recommend talkeetna air,79,79,0.36
highly recommend air,79,78,0.35
great experience great,77,76,0.34
denali grand tour,76,73,0.33
highly recommend flight,74,74,0.33
staff friendly helpful,74,74,0.33
bucket list item,74,73,0.33
definitely highlight trip,73,73,0.33
coast waimea canyon,72,71,0.32
glacier landing weather,71,71,0.32
grand canyon airport,71,65,0.29
amazing highly recommend,70,70,0.31
grand canyon tour,70,69,0.31
kauai highly recommend,69,69,0.31
sure sides plane,68,68,0.31
grand canyon air,68,66,0.3
highly recommend taking,68,68,0.31
glacier landing amazing,68,68,0.31
great flight great,67,65,0.29
kauai air tour,67,66,0.3
grand canyon helicopter,66,63,0.28
got sit pilot,65,65,0.29
definitely recommend tour,64,64,0.29
highly recommend talkeetna,64,64,0.29
canyon na pali,63,63,0.28
breath taking views,62,60,0.27
really enjoyed flight,62,62,0.28
half price helicopter,62,62,0.28
best way grand,62,61,0.27
life time experience,62,58,0.26
island highly recommend,61,61,0.27
kauai wings kauai,61,61,0.27
prone motion sickness,61,61,0.27
wings kauai great,60,59,0.27
year old son,60,59,0.27
grand tour glacier,59,58,0.26
view grand canyon,59,58,0.26
experience amazing experience,59,59,0.27
flight seeing trip,58,55,0.25
experience grand canyon,58,58,0.26
pilot extremely knowledgeable,57,57,0.26
experience highly recommended,57,57,0.26
wings kauai air,57,51,0.23
great experience highly,57,57,0.26
rim grand canyon,57,54,0.24
experience definitely recommend,57,57,0.26
waimea canyon na,56,56,0.25
beautiful sunny day,56,56,0.25
worth time money,56,55,0.25
views grand canyon,56,53,0.24
