word,count,mean_rating,raw_vader_score,category
professional,2056,4.950389105058366,0.0,TRUST
friendly,3271,4.941608070926322,2.2,JOY
lucky,593,4.9325463743676226,1.8,JOY
start,490,4.86734693877551,0.0,ANTICIPATION
fun,1802,4.950610432852386,2.3,JOY
facts,317,4.908517350157728,0.0,TRUST
excellent,2475,4.955959595959596,2.7,JOY
recommend,5998,4.945481827275759,1.5,TRUST
worth,3011,4.919628030554633,0.9,CATE
communication,176,4.6647727272727275,0.0,TRUST
spectacular,1798,4.956062291434928,0.0,ANTICIPATION
leave,191,4.633507853403142,-0.2,SADNESS
disappointed,495,4.444444444444445,-2.1,SADNESS
journey,166,4.903614457831325,0.0,JOY
delight,52,5.0,2.9,JOY
signature,18,4.777777777777778,0.0,TRUST
justice,114,4.982456140350878,2.4,TRUST
desert,38,4.7368421052631575,0.0,SADNESS
helpful,1115,4.947982062780269,1.8,JOY
magnificence,26,4.961538461538462,2.4,JOY
interesting,859,4.916181606519208,1.7,CATE
flying,2740,4.910583941605839,0.0,FEAR
convenient,61,4.704918032786885,0.0,CATE
safe,1601,4.929419113054341,1.9,JOY
perfect,1464,4.961065573770492,2.7,JOY
top,1000,4.91,0.8,TRUST
skilled,240,4.954166666666667,0.0,CATE
smiling,34,5.0,2.0,JOY
kudos,30,5.0,2.3,JOY
young,254,4.826771653543307,0.0,JOY
ready,170,4.629411764705883,1.5,ANTICIPATION
patient,146,4.938356164383562,0.0,ANTICIPATION
cherish,54,5.0,1.6,JOY
beauty,891,4.9753086419753085,2.8,JOY
sense,206,4.912621359223301,0.0,CATE
terrific,278,4.9640287769784175,2.1,SADNESS
experienced,865,4.939884393063584,0.0,TRUST
noise,166,4.873493975903615,0.0,CATE
lovely,268,4.899253731343284,2.8,JOY
music,366,4.814207650273224,0.0,JOY
opportunity,533,4.874296435272045,1.8,ANTICIPATION
delightful,88,4.965909090909091,2.8,JOY
bonus,141,4.957446808510638,2.5,JOY
adventure,1255,4.946613545816733,1.3,ANTICIPATION
friendliness,45,4.977777777777778,2.0,JOY
extra,533,4.879924953095685,0.0,CATE
pretty,390,4.71025641025641,2.2,JOY
beautiful,3511,4.922244374821988,2.9,JOY
strongly,128,4.890625,1.1,CATE
gift,255,4.850980392156862,1.9,JOY
outstanding,567,4.964726631393298,3.0,JOY
expectation,27,4.62962962962963,0.0,ANTICIPATION
small,1481,4.8649561107359895,0.0,CATE
turbulence,234,4.880341880341881,0.0,FEAR
fall,58,4.827586206896552,0.0,SADNESS
guidance,19,5.0,0.0,TRUST
expert,111,4.990990990990991,0.0,TRUST
ease,419,4.978520286396181,1.5,CATE
glad,877,4.925883694412771,2.0,JOY
nervous,488,4.922131147540983,-1.1,ANTICIPATION
wonderful,2815,4.951687388987566,2.7,JOY
wait,470,4.6617021276595745,0.0,ANTICIPATION
good,2327,4.791577137945853,1.9,JOY
hit,70,4.857142857142857,0.0,ANGER
culture,57,5.0,0.0,CATE
chilly,19,4.842105263157895,0.0,CATE
joy,68,4.852941176470588,2.8,JOY
buck,42,4.785714285714286,0.0,SURPRISE
wild,77,4.935064935064935,0.0,SURPRISE
special,596,4.944630872483222,1.7,JOY
gorgeous,447,4.9284116331096195,3.0,JOY
picnic,30,4.666666666666667,0.0,JOY
kind,589,4.8438030560271645,2.4,JOY
arrival,158,4.7405063291139244,0.0,ANTICIPATION
long,583,4.775300171526586,0.0,ANTICIPATION
competent,165,4.9393939393939394,1.3,TRUST
memorable,624,4.966346153846154,0.0,JOY
avoid,81,4.382716049382716,-1.2,FEAR
departed,35,4.6571428571428575,0.0,SADNESS
cool,636,4.900943396226415,1.3,CATE
terrible,50,3.16,-2.1,SADNESS
assured,77,4.571428571428571,1.5,TRUST
happy,534,4.882022471910112,2.7,JOY
found,465,4.83010752688172,0.0,JOY
soothing,18,4.888888888888889,1.3,JOY
impossible,66,4.484848484848484,0.0,SADNESS
row,114,4.578947368421052,0.0,ANGER
feeling,209,4.813397129186603,0.5,JOY
thankful,60,4.983333333333333,2.7,JOY
related,42,4.904761904761905,0.0,TRUST
kindness,37,4.891891891891892,2.0,CATE
arrive,92,4.489130434782608,0.0,ANTICIPATION
calm,252,4.9523809523809526,1.3,CATE
gate,192,4.869791666666667,0.0,TRUST
fear,118,4.9576271186440675,-2.2,FEAR
expertise,62,4.967741935483871,0.0,TRUST
enjoy,560,4.85,2.2,JOY
unique,459,4.947712418300654,0.0,SURPRISE
priceless,85,5.0,0.0,CATE
peaceful,74,4.972972972972973,2.2,JOY
limited,139,4.561151079136691,-0.9,SADNESS
larger,96,4.8125,0.0,TRUST
bottom,107,4.822429906542056,0.0,SADNESS
happen,122,4.5,0.0,ANTICIPATION
coming,251,4.804780876494024,0.0,ANTICIPATION
broke,28,4.75,-1.8,SADNESS
love,457,4.947483588621444,3.2,JOY
fault,78,4.410256410256411,-1.7,SADNESS
machine,19,4.578947368421052,0.0,TRUST
ultimate,50,4.94,0.0,SADNESS
john,96,4.916666666666667,0.0,DISGUST
late,267,4.449438202247191,0.0,SADNESS
bad,356,4.379213483146067,-2.5,SADNESS
law,53,4.830188679245283,0.0,TRUST
risk,38,4.5,-1.1,ANTICIPATION
honest,86,4.5813953488372094,2.3,JOY
possibility,40,4.325,0.0,ANTICIPATION
hate,28,4.607142857142857,-2.7,SADNESS
county,44,4.909090909090909,0.0,TRUST
awful,15,2.2,-2.0,SADNESS
surprised,196,4.862244897959184,0.9,SURPRISE
provide,242,4.723140495867769,0.0,TRUST
thought,519,4.728323699421965,0.0,ANTICIPATION
overpriced,18,3.6666666666666665,0.0,SADNESS
share,193,4.922279792746114,1.2,JOY
fortunate,233,4.957081545064377,1.9,CATE
level,153,4.830065359477124,0.0,TRUST
personable,418,4.9688995215311005,0.0,CATE
planning,168,4.880952380952381,0.0,TRUST
blast,185,4.967567567567568,0.0,SURPRISE
absolute,263,4.935361216730038,0.0,CATE
base,368,4.880434782608695,0.0,TRUST
hurry,15,3.8666666666666667,0.0,ANTICIPATION
clean,237,4.89873417721519,1.7,JOY
quiet,161,4.913043478260869,0.0,SADNESS
hope,162,4.7407407407407405,1.9,JOY
timely,29,4.793103448275862,0.0,CATE
rob,16,5.0,-2.6,SADNESS
friend,241,4.937759336099585,2.2,JOY
worry,105,4.942857142857143,-1.9,SADNESS
passenger,353,4.824362606232294,0.0,ANTICIPATION
confident,110,4.945454545454545,2.2,JOY
expect,204,4.769607843137255,0.0,TRUST
expected,282,4.75177304964539,0.0,ANTICIPATION
delayed,74,4.445945945945946,-0.9,CATE
highest,81,4.888888888888889,0.0,JOY
cold,170,4.847058823529411,0.0,CATE
gem,23,4.956521739130435,0.0,JOY
sweet,99,4.91919191919192,2.0,JOY
sick,240,4.758333333333334,-2.3,SADNESS
major,120,4.85,0.0,CATE
fearful,22,4.818181818181818,-2.2,SADNESS
delay,58,3.9827586206896552,-1.3,SADNESS
wont,33,4.757575757575758,0.0,ANTICIPATION
afraid,144,4.972222222222222,0.0,FEAR
personal,544,4.9338235294117645,0.0,TRUST
hearing,54,4.7592592592592595,0.0,FEAR
treat,205,4.878048780487805,1.7,JOY
older,47,4.76595744680851,0.0,SADNESS
surprise,196,4.86734693877551,1.1,JOY
real,266,4.864661654135339,0.0,TRUST
true,248,4.903225806451613,1.8,JOY
superb,225,4.946666666666666,3.1,CATE
pleased,132,4.924242424242424,1.9,JOY
treasure,54,5.0,1.2,JOY
constant,41,4.512195121951219,0.0,TRUST
majority,31,4.32258064516129,0.0,JOY
confirmed,35,3.9714285714285715,0.0,TRUST
turbulent,31,4.645161290322581,0.0,FEAR
fixed,196,4.846938775510204,0.0,TRUST
worse,31,3.7096774193548385,-2.1,SADNESS
ill,23,4.217391304347826,-1.8,SADNESS
finally,210,4.4714285714285715,0.0,JOY
unsafe,35,4.6571428571428575,0.0,FEAR
unable,112,4.464285714285714,0.0,SADNESS
shoulder,16,4.5625,0.0,TRUST
disappointing,75,2.8133333333333335,-2.2,SADNESS
skeptical,22,4.818181818181818,-1.3,CATE
completely,326,4.751533742331288,0.0,CATE
improve,17,4.411764705882353,1.9,JOY
effort,85,4.694117647058824,0.0,CATE
fill,39,4.461538461538462,0.0,TRUST
sunset,268,4.873134328358209,0.0,ANTICIPATION
board,218,4.724770642201835,0.0,ANTICIPATION
sun,206,4.800970873786408,0.0,JOY
attention,112,4.955357142857143,0.0,CATE
carefully,29,4.724137931034483,0.5,CATE
regret,307,4.95114006514658,-1.8,SADNESS
beach,219,4.876712328767123,0.0,JOY
wasted,33,2.4545454545454546,-2.2,DISGUST
wrong,134,4.559701492537314,-2.1,CATE
pleasant,299,4.8762541806020065,2.3,JOY
advise,47,4.659574468085107,0.0,TRUST
stable,76,4.881578947368421,1.2,TRUST
fact,203,4.674876847290641,0.0,TRUST
hot,106,4.556603773584905,0.0,ANGER
excited,162,4.753086419753086,1.4,JOY
uncomfortable,55,3.981818181818182,-1.6,CATE
storm,38,4.526315789473684,0.0,ANGER
eagle,59,4.8474576271186445,0.0,TRUST
watch,121,4.8429752066115705,0.0,ANTICIPATION
nausea,34,4.735294117647059,0.0,DISGUST
warning,41,4.2926829268292686,-1.4,FEAR
respectful,15,5.0,2.0,TRUST
interested,146,4.691780821917808,1.7,SADNESS
catch,63,4.666666666666667,0.0,SURPRISE
suggest,136,4.772058823529412,0.0,TRUST
present,72,4.944444444444445,0.0,JOY
explore,122,4.909836065573771,0.0,ANTICIPATION
fair,55,4.545454545454546,1.3,CATE
food,70,4.614285714285714,0.0,JOY
sunny,369,4.8861788617886175,1.8,JOY
complain,18,4.5,-1.5,SADNESS
plan,317,4.861198738170347,0.0,ANTICIPATION
polite,125,4.832,0.0,CATE
disappoint,127,4.937007874015748,-1.7,SADNESS
communicative,25,5.0,0.0,CATE
familiar,42,4.857142857142857,0.0,TRUST
romantic,41,5.0,1.7,JOY
negative,55,4.472727272727273,-2.7,SADNESS
doubt,108,4.935185185185185,-1.5,SADNESS
lack,46,3.847826086956522,-1.3,CATE
exciting,372,4.938172043010753,2.2,JOY
cloudy,315,4.784126984126984,0.0,SADNESS
attentive,99,4.959595959595959,0.0,TRUST
departure,110,4.472727272727273,0.0,SADNESS
change,188,4.6861702127659575,0.0,FEAR
crystal,73,4.972602739726027,0.0,CATE
passionate,61,4.885245901639344,2.4,JOY
fascinating,85,4.882352941176471,2.5,CATE
cancel,131,4.633587786259542,-1.0,SADNESS
cooperating,34,4.852941176470588,0.0,TRUST
grateful,81,4.925925925925926,2.0,CATE
rainy,136,4.779411764705882,-0.3,SADNESS
black,76,4.921052631578948,0.0,SADNESS
bear,214,4.878504672897196,0.0,FEAR
delicious,35,5.0,2.7,JOY
unbelievable,348,4.982758620689655,0.8,CATE
chance,431,4.856148491879351,1.0,SURPRISE
mother,139,4.83453237410072,0.0,JOY
hospitality,63,4.984126984126984,0.0,CATE
solid,37,4.891891891891892,0.6,CATE
difficult,111,4.612612612612613,-1.5,FEAR
case,195,4.764102564102564,0.0,SADNESS
cover,205,4.829268292682927,0.0,TRUST
actual,125,4.632,0.0,CATE
green,117,4.811965811965812,0.0,JOY
wilderness,54,4.962962962962963,0.0,SADNESS
organized,219,4.863013698630137,0.0,CATE
lower,130,4.7,-1.2,SADNESS
daughter,359,4.888579387186629,0.0,JOY
baby,40,4.725,0.0,JOY
favorite,344,4.968023255813954,2.0,JOY
interior,64,4.765625,0.0,TRUST
deal,263,4.828897338403042,0.0,JOY
hesitation,69,4.869565217391305,-1.1,FEAR
reliable,41,4.560975609756097,0.0,TRUST
agree,72,4.944444444444445,1.5,CATE
blue,309,4.899676375404531,0.0,SADNESS
standing,128,4.7109375,0.0,CATE
father,72,4.791666666666667,0.0,TRUST
chatty,29,4.896551724137931,0.0,CATE
overcast,110,4.745454545454545,0.0,CATE
clouded,23,4.565217391304348,-0.2,SADNESS
magnificent,320,4.95625,2.9,JOY
cross,36,4.833333333333333,0.0,SADNESS
organization,71,4.915492957746479,0.0,JOY
rating,68,4.279411764705882,0.0,SADNESS
agreed,95,4.757894736842105,1.1,TRUST
honesty,18,4.555555555555555,2.2,TRUST
operation,313,4.94888178913738,0.0,TRUST
assist,17,4.9411764705882355,0.0,TRUST
successful,21,4.571428571428571,2.8,JOY
immaculate,15,5.0,0.0,JOY
touched,42,4.904761904761905,0.0,CATE
efficient,214,4.94392523364486,1.8,TRUST
choice,257,4.8949416342412455,0.0,CATE
opposed,17,4.882352941176471,0.0,FEAR
brilliant,198,4.9646464646464645,2.8,JOY
luck,97,4.649484536082475,2.0,JOY
majestic,193,4.958549222797927,0.0,JOY
word,106,4.773584905660377,0.0,TRUST
advice,111,4.738738738738738,0.0,TRUST
interest,228,4.921052631578948,2.0,CATE
apprehensive,92,4.989130434782608,0.0,ANTICIPATION
hunter,56,4.982142857142857,0.0,SADNESS
advance,190,4.378947368421053,0.0,JOY
fell,59,4.694915254237288,0.0,SADNESS
surprisingly,35,4.9714285714285715,1.2,ANTICIPATION
endless,22,5.0,0.0,JOY
avalanche,27,5.0,0.0,SADNESS
depth,43,4.953488372093023,0.0,TRUST
forward,178,4.556179775280899,0.0,CATE
important,150,4.74,0.8,TRUST
god,82,4.865853658536586,1.1,JOY
battery,16,4.8125,0.0,ANGER
picturesque,38,4.947368421052632,1.6,JOY
authentic,15,4.933333333333334,0.0,JOY
swim,17,4.823529411764706,0.0,JOY
worried,146,4.86986301369863,-1.2,SADNESS
calls,41,4.170731707317073,0.0,TRUST
anchorage,166,4.753012048192771,0.0,SADNESS
enjoying,98,4.86734693877551,2.4,JOY
intimate,61,4.885245901639344,0.0,JOY
wanting,114,4.956140350877193,0.0,SADNESS
charming,40,4.95,2.8,CATE
stress,39,4.923076923076923,-1.8,CATE
working,121,4.570247933884297,0.0,CATE
nauseous,33,4.696969696969697,0.0,SADNESS
satisfied,53,4.9245283018867925,1.8,JOY
appreciation,51,4.980392156862745,2.3,JOY
considerate,61,4.967213114754099,1.9,TRUST
lost,64,4.21875,-1.3,SADNESS
advised,61,4.590163934426229,0.0,TRUST
guarantee,43,4.767441860465116,1.0,TRUST
maintenance,33,3.9393939393939394,0.0,TRUST
falling,15,4.8,-0.6,SADNESS
