Variable,Model1_Coef,Model2_Coef,Model3_Coef,Model4_Full_FE,Std_Err,P_Value
Intercept,4.9154,4.3261,4.3436,4.3539***,(0.0321),0.0000
sentiment_polarity,-,0.7748,0.7370,0.7218***,(0.0367),0.0000
nrc_joy,-,-0.4003,-0.1357,-0.1672,(0.0933),0.0729
nrc_trust,-,-0.0240,-0.3374,-0.2899***,(0.0833),0.0005
nrc_disgust,-,-8.1886,-6.9442,-6.9676***,(0.7689),0.0000
pilot_mention,-,-,0.0500,0.0399***,(0.0089),0.0000
safety_mention,-,-,0.0458,0.0349***,(0.0062),0.0000
price_value_mention,-,-,-0.0062,-0.0082,(0.0078),0.2912
weather_mention,-,-,-0.0277,-0.0394***,(0.0091),0.0000
is_us_domestic,0.0400,0.0072,0.0015,-0.0086,(0.0062),0.1641
