safety_word,count,percentage,example_1,example_2
smooth,2443,10.99,Best part of this trip was the smooth and peaceful plane ride over the canyon,"The view is absolutely stunning, and the flight was very smooth"
professional,1990,8.95,"Zac and Brandon, the Pilots were very professional, informative and friendly",We were greeted with smiling professional people
safe,1573,7.07,"We felt safe, and informed about the GC","Paul, our pilot was awesome and helped us to feel safe based on his experience"
comfortable,1372,6.17,Very informative and also a very experienced pilot who made us all feel very comfortable,You need to be comfortable in a small plane with minor turbulence
safety,965,4.34,From the moment you come in to the landing you feel that safety is taken to  the upmost level,"I noticed with Jason, besides his experience of the terrain that safety was an up-most priority of his"
ease,418,1.88,"Our pilot, Noah, was wonderful and helped ease our nervous children",He is a super competent pilot which made us all feel at ease
calm,251,1.13,"It was a nice calm day, like no wind at all so it went smoothly",The flight was calm and view was beautiful
comfort,117,0.53,Comfort was also a factor,I would highly recommend NW Seaplanes to anyone who wants to fly safely and in comfort
confidence,109,0.49,"The ""laid back"" approach of the pilot inspired confidence and allowed us to truly enjoy every moment of the trip","At that height, if you don't have confidence on the pilot - you lose it"
confident,109,0.49,"Justin, our pilot, was very knowledgeable and we felt very confident with him as a pilot","The weather was challenging for the pilot,but he was smart and confident and overcome the winds on the lake"
expert,106,0.48,"The views were breathtaking, and Jason’s expert piloting made the whole experience unforgettable",A true pro at navigating the mountains around Denali and being a subject matter expert on everything we asked
reassuring,96,0.43,"All the staff and pilot were accommodating, friendly and reassuring",He was very reassuring and ensured that I was comfortable and relaxed throughout the flight
capable,83,0.37,"Pilot Andrew very professional, capable and enthusiastic",Our pilot Sean was very friendly and capable
secure,74,0.33,"3 hour drive, leave the car in the secure parking lot and 50 minutes later you are on the dock on San Juan Island","Once outside by the plane, we had additional instructions and it made us all feel quite secure"
trust,68,0.31,"I know you’re weighing the cost, but trust me - just do it","We couldn't do our glacial walk, but trust the right decision was made and still over the moon by our experience"
flawless,58,0.26,The flight was flawless,"Flawless service, prompt pickup at SeaTac early arrival"
good hands,54,0.24,my wife and I were in good hands,Eric was a wonderful pilot and we felt we are in good hands
gentle,50,0.22,The take off and landing were very soft and gentle,Pilot was kind to me and made gentle turns :)
relax,45,0.2,"Short trip to the heart of misty fiords and land in middle fiord, calm and relax to come back the airfloting base",She was really nervous but the headphones and music helped her relax
reassured,32,0.14,I was afraid to go on a small aircraft but LINDSEY reassured me that it was safe and most of all FUN,Jason reassured us that it was safe to fly and we had a wonderful flight
security,16,0.07,"He guided us threw history, geology, laughter, security, and the ever present wonder of it all",Then you must go through Homeland Security before you can board the transfer to the boat
trusted,12,0.05,"Go with Maverick over other activities, we felt like we went with a trusted safe company who valued their customers",The pilot was very skilled and I trusted his flying
reassurance,6,0.03,I don't think I could have gotten on that plane without his reassurance,"I am not a courageous flier, so his reassurance helped"
