review_id,rating,review_title,review_text
review_bc094451a516daefa055857a,5,Once in a lifetime experience!,"This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of us on the tour, it was private which was nice but if you have a fear of flying this would not be for you. Paul, our pilot was awesome and helped us to feel safe based on his experience.  I loved how this tour included both the aerial view and the scenery of the Canyon on the ground. My husband and I were in Arizona for a short time and wanted to make sure to make the most of our trip. This tour really allowed us to see something unique and fit into our travel plans nicely. I would highly recommend this to others if you are looking for a once in a lifetime experience to see the Grand Canyon from above, the views were priceless!"
review_856d2aa6a78e7be940af3eac,5,Beautiful!,"This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of Grand Canyon. It’s as jaw dropping as everyone says!
- the service, staff is wonderful and super knowledgeable and accommodating.
- one note, (and this isn’t their fault), is the flight can get bumpy in a small plane, especially on the return (it gets windier as the day goes on). Our 2 younger children (6,4) both made use of the air sickness bags.

A few tips/feedback items:
- the hummer tour is really nice and interesting, but really loud. Couldn’t hear almost anything the driver was saying while driving.
- the lunch didn’t accommodate for allergies (the bread is multi grain, not sure what nuts and seeds) also no veggie option.
- overall seemed a bit rushed. Would love to stay in one place and just take it all in for like an hour or so, but most stops were like 15-30
Min."
review_58ba87f9326f017e0b3399ae,1,Don’t recommend,"I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We booked a PRIVATE Grand Canyon tour. We spoke with someone over the phone on multiple occasions who explained it would be just us with the possibility of one other person (although they explained that wouldn’t be likely). When it came time for our flight, the pilot + others arrived 20 minutes late, not wearing masks and informed us there would a total of 10 of us on the tour. As you can imagine, we were pretty surprised given that wasn’t what we signed up or paid for. The pilot explained something happened with scheduling and to call Lindsey. We did so and she provided pretty awful customer service. In short she explained yes there were gonna be 10 people and if we didn’t want to go we didn’t have to but either way we weren’t getting a refund or rescheduled. 

Throughout the flight NOBODY including the guests or pilot wore a mask. Nobody suggested or asked for this to be done. This is unlawful in the state of Arizona and county of Sedona. Not only is this against the law, but put customers in great risk. I cannot believe they would allow this and be okay with this. 

I am so disappointed in the service. Highly recommend researching other options prior to booking with this company. I am sure there are other much better companies that would provide honest and safe services."
review_0feea62cebd439414c25d6fc,1,"Misleading, overpriced and poor customer service","My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead us to believe it would be just us on the plane and when we arrived we were grouped with 7 other passengers, many of which thought they were going alone as well.

When we reached out thinking there was confusion we were told they got booked on her day off. Keep in mind this is in the midst of Covid so flying on a plane with 7 strangers who NONE INCLUDING THE PILOT WERE WEARING MASKS is not ideal.

We were told we did not purchase the cancellation insurance which was never presented when I booked over the phone and we could only get 50% refunded.

So we paid $600+ to fly with a group of strangers who did not comply with any covid protocol.

The overall tour is alright although not nearly close to worth of the cost.

Extremely dissatisfied."
review_d885e5c4d3d84166ffc7048f,1,Upsetting,"Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circumstances. Even if it is sprinkling, absolutely no refund."
review_1b882aa7c72201a6725b9fe7,5,Worth it!,We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it. Incredible views of Denali and other peaks. I’ve done lots of things over the years and don’t know how this one could be topped.
review_585fd4de71474864f99ab2f5,1,Overpriced and disappointing,"I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed to be more of the lets get it over with attitude. In addition he also seemed to be a bit racist (we are Indians) and insulting to our family.

 The tour was supposed to provide sighting of wildlife but we did not spot any. The lake landing was an added 65$ per person, but it was overcast and the pilot simply landed in a different lake than the conventional one without asking us first. The new lake hardly had any beach and the pilot did not provide us enough support to actually get to the beach from the plane without getting wet. 

In all the experience was very underwhelming with simply a take off and landing sequence. I would recommend trying some other activity since this isn't something you should rather do in Alaska. There are several other services that provide much more exciting experiences for a moderate higher cost."
review_3ba1137cb1b4e9207840a231,4,Really Good Bush Plane/Fishing Experiance,"We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fish. We arrived on a full moon and and a front coming through. These two things combined with the guide's knowledge led to a wonderful fishing trip for my wife and I.The weather was challenging for the pilot,but he was smart and confident and overcome the winds on the lake.The office is located on a picturese Fish Lake just outside of Talkeetna. I would highly recoomend this compant to any interested in a float plane trip out of Talkeetna."
review_4899b603a9d2f1beb416a798,1,VOMIT COMET,"This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to become fearful of their personal safety."
review_48c09089c16a76a76a7c28b4,5,Great way to see the scale of the Grand Canyon,"Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon"
review_07a4d180b1c3927f6d90e08e,1,Cancel with little warning,"Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They offered times later in the day but we had so little warning that we were unable to make the last minute schedule change. It took over a week to get a refund with zero communication on their end during the delay. 

We spoke to some Grand Canyon park employees and they said they frequently heard complaints about Grand Canyon Scenic Airlines being flaky and dropping reservations with little warning. Buyer beware."
review_7610caa1138d8b33b74c4e88,5,Best Views!,"Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professional, aircraft was top notch (nothing rickety here) and the cost was reasonable compared to other air tours we have done in different parts of the country. Highly recommend this flight experience!"
review_af6e91837198d33f81e2790e,1,Paid for a seat on a 30 seater flew in a tin can,"We paid to get a ride on a 30 seater and were taken on the tarmac to a beater silver plane in the back. The plane had clank noises when turning on the runway. The pilot was reading a manual during the flight! It Was absolutely terrifying! If you ever felt nervous about turbulence on a big commerical plane you will contemplate your existence bouncing around in turbulence in a 8 seater, especially over the canyon."
review_fea58727faaa3a0887fe14ea,5,Great way to admire the majestic canyon,We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnificent. The crew was very professional and helpful. Everything worked out like a charm.
