word,chinese_translation,frequency_18901,review_count_18901,example_context
could,could,2507,2087,review_8f653fd5222c1543cb44db55 :: My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we saw the beautiful canyon from above . Could not stop taking photos. When we arrived at th...
talkeetna,talkeetna,1723,1314,"review_3df01e484595c86bdbe23345 :: The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. ..."
every,every (形容词),1667,1546,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
must,must (名词),1401,1336,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
eric,eric,1162,925,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
two,two (名词),1122,990,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
another,another (形容词),891,809,review_0024e9cd08cf874f0eff54c0 :: I have been attempting a trip to the Grand Canyon for a number of years. The delay was well worth it given the quality of the day my wife and I had. I cannot say enough good things...
maui,maui (名词),822,655,review_59847590cfac6ff9bbcdaf17 :: Great experience if you want to see Maui from the air. Friendly and knowledgeable pilots and a chance to try to fly a plane yourself...
josh,josh (动词),679,447,"review_cece14c344747641b3e9bd02 :: The Kodak Quest was quiet and comfortable. Josh, the pilot, was professional and interesting with a sense of humor. The aerial views of the 4 Canyonland areas helped us choose our ..."
mckinley,mckinley (名词),619,496,"review_759750f63dd0743155cdc904 :: We were driving to Talkeetna and saw the very nice dock area, well manicured and taken care of, and stopped by to look around.  We were able to book the one hour McKinley flight an..."
though,though (副词),579,548,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
hawaii,hawaii (名词),571,503,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ..."
since,since,571,510,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
without,without,568,542,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
throughout,throughout (副词),428,410,"review_c7e6af06a116fe685858b33c :: We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. ..."
steve,steve,425,294,review_2a6e0be4eff7d4bad8630a66 :: What a wonderful experience!  My husband Steve and I were in Moab with a few extra hours in the afternoon before starting our train trip though the  Rockies.   While an afternoon t...
may,may (名词),408,376,"review_89c3891c39b10492ae13756e :: Excellent!  Well done tour.  Went on the Ultimate Adventure and one of the best experiences ever.  Never felt pressured or rushed and yet, never waited or was bored.  Ran like a we..."
ruth,ruth (名词),408,391,"review_a3318aeac406ea7e99a7ed72 :: Amazing experience, one of the best of our 40-day Alaskan vacation. Just spend the money and enjoy an unforgettable experience. We landed on the Ruth glacier and ran around like ki..."
waimea,waimea,393,382,"review_23b282d2c706c3761f0368b6 :: I had been looking at this flight since we began planning our trip to Kauai,  but was still on the fence . We did a helicopter tour of the Big Island 20 years ago and kept wonderin..."
although,although,390,375,"review_3df01e484595c86bdbe23345 :: The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. ..."
ketchikan,ketchikan,369,282,"review_c447bcff832ee76204e347f8 :: During my trip to Alaska, the most important thing to me was to take a tour on a float plane. I booked this the last day of our cruise, which was in Ketchikan Alaska. On our way in..."
kevin,kevin,351,254,"review_34ee7fed3815df53c7c46dee :: Everything was wonderful! Everyone has their own window, but I do recommend the left side if you can get it. There are only 8 seats, so everybody will have a great view; it’s a gre..."
marcus,marcus,347,261,review_110cff35fdb352a1e3d4329b :: So happy we did this. Marcus was a fantastic pilot. The views were breathtaking. Perfect amount of time to not take up the whole day but to really appreciate the beauty of this isl...
beyond,beyond (副词),339,328,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu..."
chris,chris,337,276,"review_30a110b2fe26629b697ed169 :: We flew on Friday Harbor Seaplanes from Renton (Seattle) to San Juan Island. Oh, the views were amazing! The flight was smooth, the arrangements were beyond smooth and the pilot wa..."
harry,harry (动词),333,263,"review_4b8d0907cd886694e5a3176a :: This was the first excursion we did in Alaska and I thought it was a great way to start our Alaska experience.  Our pilot Harry was great, very interesting and thoughtful for our c..."
three,three (名词),329,302,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
san,san,320,271,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
seawind,seawind,313,200,"review_12fa6b4b3a822eff857aa34c :: We flew SeaWind Aviation to and from Ketchikan/Thorne Bay for a wonderful week of fishing!  The flights were smooth, the scenery beautiful, and our many fresh frozen fish boxes wer..."
four,four (名词),307,290,review_f966c5fbd6097e3895bce2c6 :: Our family of four had a great flight over the Grand Canyon. Everyone from Westwind was great - from booking with Denienne to the amazing flight with Paul. We each had our own wind...
might,might (名词),284,265,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ..."
near,near (动词),273,264,review_c48b19006556a0555ed570f4 :: We own a small cabin on a remote (no roads) lake near Talkeetna.  Over the past 10 years we have used Alaska Floatplane Service to fly back and forth from our cabin 2 - 3 times a y...
paul,paul (名词),261,211,review_f966c5fbd6097e3895bce2c6 :: Our family of four had a great flight over the Grand Canyon. Everyone from Westwind was great - from booking with Denienne to the amazing flight with Paul. We each had our own wind...
colorado,colorado (名词),246,215,review_f1fd6111a3f4702bcc67fbfe :: This tour had it all. Team was very professional. Started at Deer Valley Airport flew to Sedona then to the South Rim took a helicopter to bottom of the canyon boarded a pontoon fo...
ray,ray (名词),237,159,"review_101f174eb4cfd0a4e16a1f3a :: Fabulous would be a one-word description. As a resident of this area I have explored much of the wonders that exist here and am always amazed, but nothing I have done compared to t..."
westwind,westwind,231,170,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
upon,upon,210,194,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
francisco,francisco,208,173,"review_a9a2978859dcec4bd281c9bd :: Bruce and Ellen make you feel at ease and at home. Extremely courteous and welcoming.
Bruce was very personable in the plane and gave a lot of info about the island, it's vegetatio..."
via,via,207,198,"review_28efb948a887db7190d66ddb :: Trip Reserved: Grand Canyon Deluxe with Hummer
Our Group: 2 families (4 adults, 2 teenage boys)

On a recent trip to Las Vegas, we wanted the views of the South Rim without the 9 h..."
mike,mike (名词),193,154,"review_d2d225c0e3a9b13d51172558 :: We were driving to Talkeetna, Ak and saw a beautiful lake with some float plane's and a sign
that said Alaska Bush Float Plane Service and decided to stop and check it out. While l..."
jill,jill,190,153,"review_fd46cc517e1cad3a2ea0f8f9 :: My husband and I just did the private air tour with Nate, and it was phenomenal! I cannot overstate how amazing this tour is. Nate makes you feel right at home and is a great tour ..."
vegas,vegas (名词),186,139,"review_7d5688924bc1d74dd6f343eb :: This tour is worth every cent.  We were picked up promptly from our hotel, then taken to the airfield.  Checked in and boarded our small plane to fly out to the South Rim of the Gr..."
mahalo,mahalo,185,182,review_612b62647c7a9935a93fdef3 :: We had an absolute amazing time. Our pilot Eric was the best!  Will be back again to see more of Maui!  Thank you for the wonderful memories. Mahalo!...
five,five (名词),182,173,"review_def3d5a96c5a0f189ff8919b :: Best flight tour in Miami!! Great pilot and communication as well as the customer service super fast.
We really enjoyed and had a great time
Five Stars service⭐️⭐️⭐️⭐️⭐️Totally rec..."
behind,behind (名词),181,167,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
harbor,harbor (名词),167,119,"review_78f17e865072c98e3d673154 :: We took the 25 minute flight out of Friday Harbor around the San Juan Islands. The DH Beaver aircraft was very cool, and the flight was comfortable and fun. Jenna was a great pilot..."
beaver,beaver (名词),164,148,"review_78f17e865072c98e3d673154 :: We took the 25 minute flight out of Friday Harbor around the San Juan Islands. The DH Beaver aircraft was very cool, and the flight was comfortable and fun. Jenna was a great pilot..."
within,within (副词),162,155,"review_c8c7b840915ebe2020cc905a :: Great service.  The narrated fly over the Canyon was helpful, our pilot added great information and all went well.  The ground tour by Jeep/Hummer was very good.  Our guide was so ..."
across,across (副词),162,147,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p..."
six,six (名词),161,150,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...
friday,friday (名词),160,119,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
anchorage,anchorage (名词),158,144,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...
despite,despite (名词),153,148,"review_839e0560238a0af9aac3153f :: I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fea..."
whether,whether,149,144,"review_b686c62cbef3e5f833c9cc3b :: We booked a Denali flight and requested a pick-up from Talkeetna Alaskan Lodge in top Aug 2016. On that day, the flight has to be cancelled for bad weather but they still arrived t..."
sedona,sedona,145,115,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
doug,doug,144,102,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
antelope,antelope (名词),144,110,review_61dad22e7dff7839006c369d :: It’s a must visit experience. It’s off season in winters but less crowded peaceful and serene. I assume summers are the best but then if you enjoy lot of company it’s the season to...
tony,tony,141,80,"review_b87e0beaf5d744915f65e9aa :: Having travelled from Calgary to Vancouver on the Rocky Mountaineer, then spent a week,on Vancouver Island, followed by a cruise to the Hubbard glacier and nearly back we little th..."
pics,pics (名词),138,117,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
kaua,kaua,138,94,"review_a267ffeab7c997ef7f2829c4 :: No words are good enough to describe our experience flying over Kaua’i with Josh today. Excellent organization, friendly staff overall, impressive knowledge of the island given by ..."
heartbeat,heartbeat (名词),138,138,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
phoenix,phoenix (名词),138,109,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
