review_id,rating,review_title,review_text
review_0180711bcc1e4157afe5b416,5,Great flight over the Canyon,"We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be prepared to be weighed and then you are assigned a seat based upon weight and balance. You are assigned a colour coded boarding pass and wait until your flight is called.  You then stand in your assigned place indicated by painted footprints on the ground at the gate.  When it is safe to do so, you will be escorted to your plane and a professional photographer will offer to take your picture.  After a safety briefing and boarding is complete you can don your headphones and choose your language for the commentary.  Although the plane can hold 19 passengers, there is a very good chance you will be seated next to a window.  The flight itself was superb with spectacular views of the GC from another angle and there are many photo opportunities on either side of the plane through the large windows.  You also get to see some of the Northern Rim, something that is not easy to do in one day if travelling by road.  The flight does cross over the Canyon itself twice so it is possible to look straight down on the Colorado River and see the white water rafters doing their thing.  A lot of consideration is given to not disturbing the peace of those on the ground but this does not mean that the route flown is out of the way.   Highly recommended."
review_3cfb0433f33054f57b4a3f37,5,Absolutely stunning views,"This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of history was also fantastic. The DeHavilland Beaver is the workhorse of the Pacific Northwest, and the opportunity to take the tour in this plane was great. We took off and landed on the water. We were in the air for about an hour and got to enjoy an all-you-can-eat crab leg feast at the conclusion of this tour. Pricey, but would absolutely do again."
review_5f25933d61b76b7852dc85ff,5,A wonderful flight tour,"We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from the float dock was quick and easy.  Our flight was everything promised.  The views from the plane were almost unbelievable.  The pilot/owner, Steve did a great job telling us about the area and answering our questions along the way.  Our brief landing inside the park provided another fantastic viewpoint of the mountains and fjords as well as a look at some widlife from the ground.  The entire flight was smooth from takeoff to landing.  It just goes to show that a cloudy day at Ketchikan doesn't mean you can't enjoy a flight tour to Misty Fiords!"
review_d579c7ce2ec144775d909031,5,A wonderful first time experience on a seaplane,"My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt safe, but also exhilarating. Our pilots were knowledgable and professional as well. During this package deal we had enough to time enjoy Friday Harbor before doing the whale watch tour part. Thank you for this fun tour and I look forward to booking with this trustworthy company again."
review_4c604ac573a5ee974b8076dc,5,Our West Rim visit was an incredible experience,"My friends and I -(4) were picked up at the Sedona airport by Colby, our pilot.
He stayed with us throughout the whole experience and we couldn´t have hoped for a more pleasant, good humoured and polite pilot/guide.
The views from the plane were fantastic and the helicopter ride, although brief was amazing. Their organization works like clockwork. Great lunch at a fantastic view point.
Turbulence was an issue on returning to Sedona but Colby did his best to try and make it less rough. Great views, great lunch, great service!! 
Will recommend to all our Mexican friends!!"
review_c84f7a375d36c9132f091ee2,5,Magnificent adventure!,"The crew at K2 are amazing and make the whole experience easy and fun.  If you can plan to go when the sun is out, the trip is just that much more magnificent."
review_6452ff39710f49ed945a7407,5,Finally Denali,"You must take a tour over Denali with K2.  Excellent service, smiling friendly and helpful. Patrick was our pilot and he did a super job of pointing everything out and educating us about Denali and the glaciers, great sense of humor.  This is an experience we will never ever forget,thank you K2"
review_0da11c2491c16de35e73db28,5,Amazing,"A wonderful trip in Maui. I’m so glad to see the most interesting places including Molokai sea cliffs, Lanai shipwreck and the Molokini. The weather is windy, but it is not a problem for our pilot. Even I could have chance to ride the plane."
review_0711f8313927cd22c4a60167,5,Motor home trip,This was one of the highlights of our trip k2 were awesome what an amazing thing to do was land on the glacier  thanks again mark and debora andrews
review_28fdf822807b8be27e767e97,5,Flight to San Jaun,"Easy flight , nice pilots, great views, good value wonderful smooth take off and landing I highly recommend this group"
