word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name
great,great,11541,非常棒的 / 极好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
amazing,amazing,6251,极其震撼赞叹的 / 太棒了,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
best,best,3420,最棒的 / 顶级的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
awesome,awesome,2530,太棒了 / 极为赞叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fantastic,fantastic,2026,奇妙太棒的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nice,nice,1794,美好的 / 良好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
incredible,incredible,1612,难以置信震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
better,better,1585,更好的 / 更满意的（超过预期）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
loved,loved,1473,喜爱 / 热爱（体验）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comfortable,comfortable,1446,舒适的 / 安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fabulous,fabulous,508,绝妙的 / 极好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enjoyable,enjoyable,460,令人愉快的 / 趣味盎然的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unforgettable,unforgettable,459,令人难忘的 / 铭心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
incredibly,incredibly,315,难以置信地 / 极其,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
funny,funny,301,幽默风趣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
plenty,plenty,298,丰富的 / 充足的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hard,hard,297,困难的 / 艰辛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
impressed,impressed,255,感到深深被折服/留下深刻印象,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
welcome,welcome,212,受欢迎的 / 感受温暖的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
inspiring,inspiring,210,令人启发震慑的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
