"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"nubia r","https://www.tripadvisor.com/Profile/450nubiar","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","","5","Jan 2025 • Couples","Beautiful view of Portland","Pilot JP the experience fun and safe ! My husband and I are definitely coming back ! It was such a beautiful experience!!!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/d9/d9/97/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/d9/d9/96/caption.jpg","Written February 11, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Cody H","https://www.tripadvisor.com/Profile/codyhZ7224NF","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg","","5","Feb 2025 • Couples","Pilot J.P. is a Guaranteed Good Time","Hello!! My (now) fiancée and I just took a tour of Portland with Envi. Our pilot, J.P, was phenomenal and accommodating. I have a phobia of flying and, while being in a smaller plane is certainly more exciting than a jumbo jet, I felt safe and had an amazing time. I proposed to my girlfriend during the flight and J.P. was great about naturally conversing and being part of the moment without interrupting at all. I would highly recommend him and Envi to anyone!!","Couples","0","","Written February 2, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ness T","https://www.tripadvisor.com/Profile/841nesst","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","","5","Jan 2025 • Couples","Beautiful views, awesome experience!","JP was awesome! He explained when it would be bumpy, especially since we are riding in the winter. The views are amazing, you cannot get over the views and pictures do not do it justice. Thank you JP for such an awesome experience and for making flight as smooth as possible even with the crazy winds. It’s our first time in Oregon and when we come back, we will definitely come back to Envi!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/ad/61/ac/caption.jpg","Written January 27, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Clark J","https://www.tripadvisor.com/Profile/244clarkj","","","5","Jan 2025 • Couples","Columbia River Gorge 2025","Highly recommend Envi and pilot JP. We kicked off 2025 with a beautiful flight up the Columbia River Gorge. JP is an excellent pilot. We appreciated his engaging explanation of what we were seeing. The size of the plane was perfect for this adventure.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7b/1d/54/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7b/1d/53/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7b/1d/52/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7b/1d/51/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/7b/1d/50/caption.jpg","Written January 3, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Carolyn D","https://www.tripadvisor.com/Profile/F3979HUcarolynd","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","","5","Dec 2024 • Couples","Magic","It was amazing a real thrill.  My pilot was very experienced & professional. We enjoyed it immensely  definitely want to give it a go","Couples","0","","Written December 11, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Lauren L","https://www.tripadvisor.com/Profile/laurenl893","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","Orlando, Florida, United States","5","Nov 2024 • Family","What a unique and beautiful way to see the waterfalls!","We had an unbelievable adventure! We weren't sure what to expect, especially with a 7-year-old who is a little afraid to try new things, but John (our pilot) was incredible! He made everyone feel at ease and did a wonderful job showing us all the waterfalls (and even sea lions) on our journey. Highly recommend if you want a non-traditional way to see a beautiful section of the PNW.","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/3a/16/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/3a/16/25/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/3a/16/24/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/3a/16/23/caption.jpg","Written November 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Sondra J","https://www.tripadvisor.com/Profile/sondraj336","https://media-cdn.tripadvisor.com/media/photo-o/2e/22/7e/e6/sondra-j.jpg","","5","Nov 2024 • Family","Awesome view","This was amazing, breathtaking!  We enjoyed the whole ride.  JP, was knowledgeable and pointed out the waterfalls along the way.  This is a must do!!! We will be back!","Family","0","","Written November 17, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Doshna U","https://www.tripadvisor.com/Profile/doshnau","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","","5","Nov 2024 • Family","Nice and smooth ride","We with elderly parents, JP gave us an amazing ride. JP was patient and friendly. JP briefed us about different places as we viewed them from the sky.","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/1d/8c/ac/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/1d/8c/ab/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/1d/8c/aa/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/1d/8c/a9/caption.jpg","Written November 13, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Odyssey27228328298","https://www.tripadvisor.com/Profile/Odyssey27228328298","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","","5","Nov 2024 • Solo","Nice smooth ride!","KJ was friendly, helpful and an excellent pilot! A little windy but smooth. Would fly again on next trip to Portland. ****","Solo","0","","Written November 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"R S","https://www.tripadvisor.com/Profile/H7226LArs","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","San Jose, California","5","Oct 2024 • Solo","Wonderful flight and views of the river.","The entire flight was a complete joy. Both the pilot KJ and the plane were first class and the views of river and waterfalls were spectacular. <br />Highly recommended.","Solo","0","","Written October 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
