"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Victoria L","https://www.tripadvisor.com/Profile/victorialP139CM","https://media-cdn.tripadvisor.com/media/photo-o/2e/1c/29/16/victorialp139cm.jpg","Paterson, Australia","5","","Highly recommended tour, we had a ball!","We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour guide in the Hummer was Gerry, he was so friendly and knowledgeable, the only Native Indian Tour guide so was lucky to get him. <br />Zac and Brandon, the Pilots were very professional, informative and friendly. <br />We ended up on a private tour even though we booked in a group which we thoroughly enjoyed. Highly recommended tour.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/08/70/29/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/28/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/27/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/08/70/25/caption.jpg","Written November 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Frank D","https://www.tripadvisor.com/Profile/frankrdavis3","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Chicago, IL","5","Oct 2024 • Couples","Do this tour!! Cannot recommend enough!","This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in the air. The ground tour through GC Nation Park was a lot of fun and filled with fun facts and knowledge. They take you to lots of spots where you can get lots of great pictures while learning about some of the history and geology. We loved this tour, would do it again in a heartbeat, and will be recommending this tour to anyone that will listen.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e6/27/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e6/25/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/24/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/23/caption.jpg","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Betty J","https://www.tripadvisor.com/Profile/B7174PRbettyj","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","","5","Oct 2024 • Family","ONLY WAY TO SEE THE GRAND CANYON","Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/dc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/db/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/da/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/d9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/d8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/d7/caption.jpg","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Katie B","https://www.tripadvisor.com/Profile/kroseblack","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","","5","Aug 2024 • Couples","Stunning Views and Spectacular People!","Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon and our tour on the ground with Miss Gigi this was an all around spectacular experience. We would highly recommend this to anyone visiting Arizona and would absolutely do again. This was well worth the price paid!","Couples","0","","Written September 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Julie C","https://www.tripadvisor.com/Profile/O2793HNjuliec","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg","","5","Jun 2024 • Friends","A ""Must DO"" Aerial Tour!","Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a life time experience what will open your eyes in so many ways! Seeing the Grand Canyon from above, in all its wonder, will delight you and the learnings you will walk away with will leave you in awe! You will not be disappointed!","Friends","0","","Written June 11, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"LeeleeBG","https://www.tripadvisor.com/Profile/41leeb","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","Perth, Australia","5","","Absolutely fantastic tour!","Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedona, Flagstaff, Mt Humphries (which still had snow on it). Once we landed at the Grand Canyon Airport the tour took us on a Hummer trip around the South Rim of the Canyon.  Photos don’t do this vista enough justice.  The rock formations, colours, size and sheer magnificence was simply awe inducing. Our guides,  both the pilot Nico and the Hummer driver Trey were fantastic; so knowledgeable and interesting and always helpful. We had such a fabulous time. Thanks Westwind for making this an amazing highlight.  Your communication, organisation and friendly guides were fantastic.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/69/21/1e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/69/21/1d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/69/21/1c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/69/21/1b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/69/21/1a/caption.jpg","Written May 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Shane M","https://www.tripadvisor.com/Profile/skm0311","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","","5","Apr 2024 • Family","Great experience all around and very convenient","Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon.","Family","0","","Written April 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"nic w","https://www.tripadvisor.com/Profile/391nicolew","https://media-cdn.tripadvisor.com/media/photo-o/18/bb/f2/46/caption.jpg","Coventry, UK","5","","Absolutely perfect","Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was amazing if we were the only people there.","","0","","Written March 17, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Eric J","https://www.tripadvisor.com/Profile/ericjW5718OT","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg","","5","Jan 2024 • Family","Cloud 9 Canyon Excursion","The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. Skilled, thougtful, and informative. Even took pics for us and we had the plane to ourselves.<br />Once we landed at the South Rim our Hummer and guide were waiting for us. Jerry is a Navajo and knows the area he grew up in extensively.  He was also very patient as we travelled with two young ones. All the stops were awe inspiring and we were fed an excellent, personally made lunch right next to the canyon. <br />I would personally recommend this means of seeing the Grand Canyon to be high on one's bucket list. Kudos to the Westwind Air team and thank you for a family memory we will cherish and never forget!<br /> Eric Riediger","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/9e/b5/d2/caption.jpg","Written March 13, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Shapleigh I","https://www.tripadvisor.com/Profile/shapleighi","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/16/e0/caption.jpg","Reading, PA","5","","Best Tour Ever! Don’t Miss It!","A fantastic trip with views you will never get to see from the ground. Then when you do land at Grand Canyon Village and take the Humvee part of the tour you will be blown away again by the sheer beauty of the Grand Canyon and some of the lookout points where you stop.<br />One of the best parts of our trip was our pilot - Carla. She has 30 years experience flying, and a great sense of humor. The tour is pre-narrated which you hear through your headphones in the plane, but Carla cuts in from time to time to add some great tidbits. She also has a great sense of humor! WELL WORTH THE PRICE OF THE TICKET!","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/78/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/77/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/76/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/75/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/73/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/72/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/71/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/70/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/6f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/6e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/6d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/6c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/86/15/6b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/86/15/6a/caption.jpg","Written February 28, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
