"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Johan D","https://www.tripadvisor.com/Profile/johandU6284YY","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg","","5","","See Maui from above","Great experience if you want to see Maui from the air. Friendly and knowledgeable pilots and a chance to try to fly a plane yourself","","0","","Written February 26, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"kevinL2513OM","https://www.tripadvisor.com/Profile/kevinL2513OM","","","5","","Great experience, very glad we did it.","Good experience. The ride was smooth. The pilot was competent and offered information on what we were seeing. A good experience all around. We even saw some whales.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/40/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/3a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/19/db/39/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/19/db/38/caption.jpg","Written February 26, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"S S","https://www.tripadvisor.com/Profile/ssR1895WU","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg","","5","Feb 2025 • Friends","Fantastic!","This experience was truly magical. Because we got to see the island and surroundings from a Birds Eye view and it was lots of fun","Friends","0","","Written February 25, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"ARMANDO G","https://www.tripadvisor.com/Profile/armandogO2498SM","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg","","5","Feb 2025 • Family","Amazing","Nice flight, nice service and of course very nice pilot!!!  It was a lot of fun and my family enjoyed it slot <br /><br />Thank you so much","Family","0","","Written February 21, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Olga R","https://www.tripadvisor.com/Profile/olgarS4919RF","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg","","5","Feb 2025 • Family","Increíbles in Any language!","This private fñugjt ea san extraordinaria fligjt. Se Feli amazona and the experiencia das excelentes. Resñoy fun and thsbks","Family","0","","Written February 21, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"bustrorl","https://www.tripadvisor.com/Profile/bustrorl","","Leawood, KS","5","","Better and better! Repeat visit!!","Just an amazing flight. The colors were beautiful and we saw some whales. Were actually repeat visitors from last year. Really happy with another tour!","","0","","Written February 19, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jim Davie","https://www.tripadvisor.com/Profile/jimdavie","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","Endicott, NY","5","Feb 2025 • Couples","Cool views Amazing Time!","This experience was in my humble opinion absolutely AMAZING.! I had a lot of fun and so I’d recommend to Everyone! Cool views for sure!","Couples","0","","Written February 14, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Go38168354060","https://www.tripadvisor.com/Profile/Go38168354060","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","","5","Feb 2025 • Couples","Amazing. and Brilliant","An amazing flight and the pilot/guide was incredible.   Loved the sites and whales Must do experience of a life time.  You will not regret it","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/e0/6e/7a/caption.jpg","Written February 14, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Amy P","https://www.tripadvisor.com/Profile/amypV7990YS","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Springfield, MO","5","Feb 2025 • Friends","Breathtaking","So much fun!! Amazing flight and great narrative. Enjoyed the whole trip . Highly recommend!!! Make your reservation today!!!! Wow just wow!","Friends","0","","Written February 14, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Mike S","https://www.tripadvisor.com/Profile/mikesV8653TP","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg","","5","Feb 2025 • Friends","Brilliant","The we xperiemce was awesome and i found it quite amazing to be honest I would enjoy doing it again. Thanks so much. Had a fun time","Friends","0","","Written February 14, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
