"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Tia R","https://www.tripadvisor.com/Profile/82tiar","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","Indianapolis, IN","5","Feb 2025 • Family","Ignore the price: treat yourself to this once-in-a-lifetime experience","My sister and I loved this experience so much! I really hesitated because of the price, but would do this again in a hearbeat. Felix was our pilot and he knew all the interesting facts and put us all at ease. Seeing the Grand Canyon in this way is unbelievable!","Family","0","","Written February 24, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dan","https://www.tripadvisor.com/Profile/I7564DCdaniel","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg","","5","","Surreal experience, Maverick Helicopters extremely safe and great guides","Amazing experience, flight was surreal with an amazing guide with us. We got unbelievable photos of the south rim, the little colorado valley and the north rim as well as the grand canyon itself. Would absolutely recommend Maverick Helicopters for their safety and experience.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/00/f0/b9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/00/f0/b8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/00/f0/b7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2f/00/f0/b5/caption.jpg","Written February 23, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Desiree","https://www.tripadvisor.com/Profile/Deezoo01","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","Sassenheim, The Netherlands","5","","In a word great!","Everything was well organized, the flight was very cool and pilot Dylan managed to entertain us well along the way. Very cool to experience!","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ee/96/c2/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ee/96/c1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ee/96/bf/caption.jpg","Written February 19, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Trip32612680747","https://www.tripadvisor.com/Profile/Trip32612680747","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","","5","Feb 2025 • Family","Good flight.","Very nice ride and good take care from the pilot. We vas 5 persons and all of us was very satisfyed. We get good wether and that did it extra good.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/e5/2b/88/caption.jpg","Written February 16, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"DoylestownD","https://www.tripadvisor.com/Profile/Voyager03613560746","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Doylestown, PA","5","Feb 2025 • Couples","Splendid Experience with Unparalleled Views","We had a fabulous experience with Maverick! The entire outfit was run efficiently and with safety at top of mind. The flight was a lot of fun and offered views you would never capture from land. We left with tons of great photos that we'll treasure. I'd say this was a once in a lifetime experience, but could easily see us taking another flight with them if we revisited the Grand Canyon. Kudos to the entire team for a great time!","Couples","0","","Written February 8, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"DEAN H","https://www.tripadvisor.com/Profile/deanhO6473TO","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","","5","","Money well spent","Wow what teamwork from the check in to the formal introduction from our pilot Shane great communication about the Grand Canyon continued to ask if anyone had questions","","0","","Written February 7, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"RBH L","https://www.tripadvisor.com/Profile/rbhl2025","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg","","1","Jan 2025 • Couples","Wasted a significant portion of my day","Couldn’t be more disappointed with the reservation/ cancellation process. Received a call only a few hours in advance that our flight was canceled. Not because of weather or a mechanical issue, but because they won’t fly with only two passengers. Of the options available I was offered to buy two more seats and then we could take the trip. While I understand it’s their policy they need to communicate this during the reservation process. We went way out of our way to cross this off the bucket list and was let down.","Couples","0","","Written January 31, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"MaryJo Zipperle","https://www.tripadvisor.com/Profile/maryjozip","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","","5","Jan 2025 • Family","Great way to see the Grand Canyon.","Incredible tour of Grand Canyon.  Shane was very professional and made our family feel comfortable.  The flight and views were amazing.   Thank you Shane!!","Family","0","","Written January 18, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Marybel","https://www.tripadvisor.com/Profile/205marybelc","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","West Palm Beach, FL","5","Dec 2024 • Couples","A must do!!","The first view of the basin was breathtaking! Our pilot, Jeff, was great. It was a nice smooth ride with amazing views!  This is the best way to see the  Canyon.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/70/12/36/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/70/12/35/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/70/12/34/caption.jpg","Written December 28, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Robert C","https://www.tripadvisor.com/Profile/L8882YErobertc","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","","5","","Don't miss this","This is a fantastic way to see and learn about the Grand Canyon. Our pilot was very knowledgeable about the different peaks, valleys and rivers. <br />It was worth every penny.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f4/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/53/23/f2/caption.jpg","Written December 11, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
