"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Ed C","https://www.tripadvisor.com/Profile/523edc","https://media-cdn.tripadvisor.com/media/photo-s/06/3c/eb/cc/ed-c.jpg","Bozeman, MT","5","","Breathtakingly Awesomeness","What an amazing experience. This was definitely a top three if everything we have done all over the world. The whole operation was top notch.  Always felt safe. The pilot ,Andy, explained everything throughout the flight and landing.  He ga e both sides of the plane their own opportunities to see each view throughout the flight.  His approach and takeoff from the glacier was super smooth.  The time on the glacier was breathtaking. Every aspect of this flight spot on. Would highly recommend to everyone that comes to Talkeetna.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/f0/4e/7f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/f0/4e/7e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/f0/4e/7d/caption.jpg","Written October 30, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Nitish S","https://www.tripadvisor.com/Profile/NitishS262","https://media-cdn.tripadvisor.com/media/photo-s/0d/ab/eb/e2/nitish-s.jpg","","5","Oct 2024 • Solo","Must do tour in Alaska!","The glacier landing tour was hands-down THE best part of my Alaska trip. The pilot was very informative and explained in great detail about the various kinds of glaciers. The landing on the glacier was smooth. The views from the plane were surreal.","Solo","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/cd/02/5f/caption.jpg","Written October 16, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"T V","https://www.tripadvisor.com/Profile/tvoelgranada","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","El Granada, CA","5","Sep 2024 • Family","Amazing Denali Experience","Denali was partially hidden by clouds. The scenery leading up to Denali and the glacier landing were breath taking. This is a must do to experience Denali. Shannon front desk lady was a delight. Flight crew Asa and Richard were top notch. We were rescheduled several times due to weather. They won’t fly unless it’s safe. So clear your calendar and make yourself available to better your chances. We plan to come back and do another flight seeing tour with this outfit on our next Alaska trip. Yes I highly recommend.","Family","0","","Written September 20, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"57Lulu","https://www.tripadvisor.com/Profile/57Lulu","https://media-cdn.tripadvisor.com/media/photo-o/24/ef/17/a9/57lulu.jpg","Florida","4","Aug 2024 • Couples","A good experience","Unfortunately, it was cloudy and drizzling on our day of the scheduled ride and we couldn't do the glacier landing route.  I wanted to write a review and let those with potential air or car sickness, like my husband, you do not have to worry about it.  The plane is small and seats are tight but the takeoff, landing and ride itself is very smooth even with elevation changes.  We actually went through a snow squall during our flight which was interesting.  Although it was not our original plan, we were glad we decided to go up and fly over the tundra and the deepest ice in Alaska, a memory we always will have.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-o/2d/77/7f/69/caption.jpg","Written September 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"familytripplannerNYC","https://www.tripadvisor.com/Profile/familytripplannerNYC","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","NYC","5","","What a view!","What a treat!   The flight over to Denali was a highlight of our short stay in Alaska.  Pilot Tim was knowledgeable and answered our many questions about Denali and the region.  The scenery is of course breath taking and the experience quite memorable.  If you can, take this flight.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/5c/52/36/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5c/52/35/caption.jpg","Written September 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Timothy S","https://www.tripadvisor.com/Profile/timothysX6417ZI","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg","","5","Aug 2024 • Couples","Flying high!","We had a terrific time flying with Talkeetna Air Taxi. The views were spectacular, landing on the glacier was amazing. Our pilot, Richard did a great job flying and showing us the terrain. Very little turbulence during our trip and great landings both on the glacier and at the airport. Would highly recommend this excursion.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-o/2d/5b/ba/01/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2d/5b/b8/6e/caption.jpg","Written September 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Taylor A","https://www.tripadvisor.com/Profile/843taylora","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg","New Orleans, LA","5","","Amazing Denali National Park sights!","We had a fantastic time with Captain Daniel. He was very knowledgeable and made us feel very safe and taken care of on the trip. The views were spectacular and the glacier landing was amazing. 10/10 recommend the glacier landing with you tour.  The only unfortunate part was it was too cloudy to fly above the clouds to see Denali. Other than that, we had a fantastic time and we all agreed that it was the best way to view and experience Denali National Park.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/52/22/53/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/52/1a/77/10-recommend-including.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/52/1a/76/10-recommend-including.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/52/1a/75/10-recommend-including.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/52/1a/74/10-recommend-including.jpg","Written August 31, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Manthan M","https://www.tripadvisor.com/Profile/732manthanm","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","5","Aug 2024 • Family","Must do when in Alaska","Mesmerizing and breathtaking views. Never seen anything like it. It was sunny and a great day to fly and visit the Denali peaks and glaciers. Worth every penny.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/37/21/56/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/37/21/55/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/37/21/54/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/37/21/53/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/37/21/52/caption.jpg","Written August 20, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Lorie M","https://www.tripadvisor.com/Profile/loriem457","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","Eustis, FL","5","Aug 2024 • Family","Highly recommend this trip you won’t be disappointed!","South Side Explorer with Glacier Landing was the highlight of our trip. The pilot was exceptionally good, a great take off and landing, he was so informative.","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/34/88/6f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/34/88/6e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/34/88/6d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/34/88/6c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/34/88/6b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/34/88/6a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/34/88/69/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/34/88/68/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/34/88/67/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/34/88/66/caption.jpg","Written August 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"hairgirl","https://www.tripadvisor.com/Profile/Sightseer44704483140","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg","Sainte Genevieve, MO","5","","Best excursion on our trip!!!!","This was by far the highlight of our Alaskan trip. Unbelievable views like nothing we had ever seen before. Our booked trip had to reschedule due to rain conditions and flew out later that day. We hung out in Talkeetna as this was one of the first flights in 4 days they were able to complete. So fortunate to make the trip …..above the rain the sun was shining on Denali😄","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/31/67/c1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/31/67/c0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/31/67/bf/caption.jpg","Written August 18, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
