"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Christine A","https://www.tripadvisor.com/Profile/N1593CIchristinea","","","5","Jan 2025 • Couples","Fun!","Amazing views! We loved it! Very safe. We are locals but loved seeing our home from above!!!!   Beautiful day! San Francisco and all of Marin and the coast.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/75/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/74/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/73/caption.jpg","Written January 27, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"lisagrecia2162","https://www.tripadvisor.com/Profile/lisagrecia2162","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Bridgetown, Barbados","5","Nov 2024 • Couples","Seaplane Trip over San Francisco","A fantastic sea plane trip around the San Francisco Bay, with a flyover of the Golden Gate Bridge and the city.<br />Exceptionally friendly staff and pilot.<br />Highly recommended.","Couples","0","","Written November 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Gary B","https://www.tripadvisor.com/Profile/garybH4150TM","","","5","","Float Plane Tour","Great view of Sausalito, San Francisco Bay and the city. You fly along the coast at about 1000’ looking at the sites then you gain a little altitude and go across the city viewing Golden Gate Park and the Presidio. You end up South of the Golden Gate Bridge over the Pacific Ocean. On the way back home you fly directly over the bridge and back to base. On a clear day it is a pretty spectacular 30 minutes.","","0","","Written July 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"BeachTrave","https://www.tripadvisor.com/Profile/Beach-Trave","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","Cupertino, CA","5","Nov 2021 • Family","Ever tried a seaplane?","The beauty of San Francisco could be better appreciated from this tour. Sea plane landing was a memorable one - better than any commercial airplane landing!! Very enthusiastic staff !!","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/78/1e/94/san-francisco-city-sights.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/78/1e/92/san-francisco-city-sights.jpg","Written November 27, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Artist Sue A","https://www.tripadvisor.com/Profile/artistsuea","https://media-cdn.tripadvisor.com/media/photo-o/17/09/fb/cf/artist-sue-a.jpg","Sausalito, CA","5","Oct 2021 • Business","Highly Recommended!","Fun, informative and exciting! Thank you for the experience!<br />The tour was a great overview of San Francisco and Marin history and offered once in a lifetime views.","Business","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/0e/42/3a/san-francisco-city-sights.jpg","Written October 26, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ben B","https://www.tripadvisor.com/Profile/Benbartley","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","","5","Jul 2021 • Family","Wow! Awesome Seaplane Experience","Once in a lifetime activity that my entire family will never forget. Awesome experience. My kids had so much fun. The pilot was very knowledgeable & the trip was exciting.","Family","0","","Written July 31, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"MtnJen","https://www.tripadvisor.com/Profile/MtnJen","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","","5","Jun 2021","Welcoming staff, professional communications, fun ride","Despite high winds and fog in the city, our group could see all of the sights clearly and had a great ride.  A seaplane is such an exciting experience, even if you've flown in other light craft before.  Each member of the staff we encountered were very friendly and cool, and made us feel very comfortable.  We really felt welcomed.  <br /><br />The online booking experience was super smooth and user-friendly.  Received reminder emails with all necessary information and even a text the morning of the flight letting us know that traffic would be heavier than normal and to plan accordingly.  <br /><br />The building was quite nice too, with a comfortable picnic table outside, sofas in a lounge inside, and clean restrooms.  Highly recommend!","","0","","Written June 21, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"John O","https://www.tripadvisor.com/Profile/Connector745632","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","","5","Mar 2021","The highlight of any San Francisco visit.","Ana,  The office manager was extremely efficient and helpful. Fred, the pilot, is an experienced pilot, an excellent narrator, and a great guy.   A flight over San Francisco is the highlight of any visit.","","0","","Written March 30, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Katherine S","https://www.tripadvisor.com/Profile/katstaff","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","Quincy, CA","5","Oct 2020","Safe and Fun, Even With Pandemic and Without the Sun","The weather was gray and wet but we were able to go up with Fred. We kept to the Bay and flew close to the GG Bridge and over the Bay Bridge. I was bummed that the weather kept us from going over the City, but Fred made the best of it, and we enjoyed our time in the sky. There's no better feeling than flying I can think of, besides my other favorite, being in water. It was my husband's first time in a small plane and he enjoyed the ride and views. Things were not so far away, especially since we were flying low because of the weather. A COVID note: Our temps were taken and the pilot disinfected the plane before we boarded, and all abroad wore masks. I could feel outside air moving through the cabin, too. I felt pretty comfortable and safe. Go flying and keep this awesome business afloat! (Get it?)","","0","","Written October 12, 2020","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Florian R","https://www.tripadvisor.com/Profile/florian278","https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/a4/avatar075.jpg","Rouen, France","5","","Spectaculaire!!","A consommer sans modération, la vue sur tout le San Francisco est juste splendide. L’équipe est super sympathique, une navette viens vous récupérer et vous re dépose. <br />Le pilote Jérôme parle très bien le français et a beaucoup d’humour. <br />Je recommande a 200% de faire ce vol pour tout ceux qui passe par San Francisco.<br />Bravo. ","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/19/8f/16/47/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/8f/16/46/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/8f/16/45/photo0jpg.jpg","Written October 10, 2019","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
