"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"902jimt","https://www.tripadvisor.com/Profile/902jimt","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","Lorain, OH","5","","Epic trip to monument valley","Excellent trip. Snacks and drinks before takeoff. Used a Cessna to fly up. 2 hour narrated flight and went right over the valley! Tour company was waiting. Had a nice lunch at the local restaurant and then a van tour of the valley. Epic once in a lifetime trip. Less than 2 hour flight back. Learned a lot, souvenir photo, and memories to last a lifetime. Thank you for an amazing experience!","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/e2/6f/9a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/e2/6f/99/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/e2/6f/98/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/e2/6f/97/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/e2/6f/96/caption.jpg","Written February 15, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"TulsaDad318","https://www.tripadvisor.com/Profile/TulsaDad318","https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/95/avatar021.jpg","Waterloo, Canada","5","","A remarkable life experience.","Although a premium price, the service was beyond anything you could imagine.  Booking was simple and easy.<br />On arrival, we were welcomed personally by Lindsay and offered coffee and treats.  Homemade brownies were excellent.  She introduced our pilot Brandon and he went to ready the plane.<br />We were escorted to the plane, given safety instructions and on our way.  The flight over Sedona and then over the canyon was amazing and Brandon was great with telling us a few things about what we were seeing.<br />After returning in the allotted 3 hours Lindsay asked questions about us and our stay.  It came out that I have stage 4 kidney cancer in my bones and she hugged me and my wife and shared her victory over cancer over 30 years ago.  Then in the parking lot, Brandon came to us.  We thought we forgot something, but he said Lindsay had shared our story and he had just lost his mom and previously his dad to cancer.  He is now working limited hours to care for his brother battling stage 4 cancer.  We all cried a little and Brandon commented he was meant to take us up today.<br />The people at this company truly cared.  They were not just kind and doing their job.  I know I have two more people praying for me in my battle.  I could not say more about these people.<br />Please know this is a business with a quality product that you should support.  You will not regret it.<br />Thank you Westwind.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/68/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/67/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/66/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/64/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/63/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/62/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/c3/47/60/caption.jpg","Written February 5, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"cindy g","https://www.tripadvisor.com/Profile/cindygX5567PN","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","","5","Dec 2024 • Family","Best day Ever!","The entire experience was amazing. My grandsons said it was the best day of their life!! The views we had of the Grand Canyon could not be seen from the ground. Great experience!","Family","0","","Written January 3, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Samantha T","https://www.tripadvisor.com/Profile/C4071YTsamanthat","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg","","5","Dec 2024 • Couples","Do the Ultimate Tour of Northern AZ!","My husband and I did the Ultimate Northen Arizon Tour that included a 1.5hr hike in Antelope Canyon. Let me tell you, this whole day was unbelievable! The sights you see from the plane throughout the whole day are indescribable!! The hike through Antelope Canyon was so beautiful and I'm so happy it was part of this tour. Our Pilot Zach was friendly and knowledgeable. If you're looking to do a tour, sound the money and do the Ultimate tour! It's sooo worth the money! I loved every minute of it.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/44/05/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/44/04/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/44/03/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/44/02/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/44/01/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/44/00/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/ff/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/fe/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/fd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/fc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/fb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/f9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/6b/43/f8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f4/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/6b/43/f2/caption.jpg","Written December 25, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Victoria L","https://www.tripadvisor.com/Profile/victorialP139CM","https://media-cdn.tripadvisor.com/media/photo-o/2e/1c/29/16/victorialp139cm.jpg","Paterson, Australia","5","","Highly recommended tour, we had a ball!","We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour guide in the Hummer was Gerry, he was so friendly and knowledgeable, the only Native Indian Tour guide so was lucky to get him. <br />Zac and Brandon, the Pilots were very professional, informative and friendly. <br />We ended up on a private tour even though we booked in a group which we thoroughly enjoyed. Highly recommended tour.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/2a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/08/70/29/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/28/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/27/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/08/70/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/08/70/25/caption.jpg","Written November 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Esther S","https://www.tripadvisor.com/Profile/EstherS2870","","","5","Oct 2024 • Family","Very Memorable","Grand Canyon Signature Tour - South Rim with Hummer Tour (S-PJX)<br /><br />Wonderful tour. Our pilot Carla was amazing - knowledgable about all the sights from the air and put us at our ease. It was a splurge for us, but definitely worth it!","Family","0","","Written October 18, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Frank D","https://www.tripadvisor.com/Profile/frankrdavis3","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Chicago, IL","5","Oct 2024 • Couples","Do this tour!! Cannot recommend enough!","This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in the air. The ground tour through GC Nation Park was a lot of fun and filled with fun facts and knowledge. They take you to lots of spots where you can get lots of great pictures while learning about some of the history and geology. We loved this tour, would do it again in a heartbeat, and will be recommending this tour to anyone that will listen.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e6/27/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e6/25/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/24/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e6/23/caption.jpg","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Betty J","https://www.tripadvisor.com/Profile/B7174PRbettyj","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","","5","Oct 2024 • Family","ONLY WAY TO SEE THE GRAND CANYON","Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/dc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/db/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/da/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/d9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/c9/e0/d8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/c9/e0/d7/caption.jpg","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Katie B","https://www.tripadvisor.com/Profile/kroseblack","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","","5","Aug 2024 • Couples","Stunning Views and Spectacular People!","Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon and our tour on the ground with Miss Gigi this was an all around spectacular experience. We would highly recommend this to anyone visiting Arizona and would absolutely do again. This was well worth the price paid!","Couples","0","","Written September 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Scarlett S","https://www.tripadvisor.com/Profile/scarletts866","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","","5","Aug 2024 • Solo","Amazing Experience!","Such an amazing tour! Insane views that you would never get from the ground. I used them as a charter to where I was going skydiving and ended up having a bit of a wait time. They really looked after me and I even let me ride at the front of the plane to make up for it. Great service and 100% recommend the tour and choosing this company :)","Solo","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/17/e7/dc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/17/e7/db/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/17/e7/da/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/17/e7/d9/caption.jpg","Written August 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
