"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Joey","https://www.tripadvisor.com/Profile/Guide41297931349","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg","Miami, FL","5","","DO 👏 THIS 👏 EXPERIENCE 👏 NOW 👏","Wow, where do I begin. Last week for Valentine’s Day I surprised my girlfriend with Miami Seaplane Island Adventure Tour to Islamorada and what an incredible experience! Tony, is a true gentleman and went above and beyond to help make this trip something my girlfriend will never forget (and myself). We’ve done a lot of cool stuff all over the world but this was one of the absolute coolest adventures we’ve been on. Starting off by seeing our neighborhood up close from an aerial view, then seeing the crystal blue waters on our way through the keys, to landing right up to the restaurant we had lunch at. Lunch was excellent, plenty of options and fresh seafood with live music! Tony’s flying was smooth and controlled, we felt safe and calm the entire time. We explored the island for a couple of hours before we got back on the plane to head home to Miami. Seeing our skyline again around sunset was also very special for us. Tony is sharp and I feel like I’ve made a new friend. I’m excited to plan another adventure very soon.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/2c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/2b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/2a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/29/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/28/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/27/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2f/03/bf/25/caption.jpg","Written February 24, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dermot D","https://www.tripadvisor.com/Profile/dermotd147","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","5","","Once in a lifetime experience!","The most memorable experience of my life. And I’ve saw a lot! The perspective you get from the air is remarkable. We saw Sharks, Dolphins, Sea Turtles… incredible.","","0","","Written January 29, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Radoslaw C.","https://www.tripadvisor.com/Profile/radoslawch2","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","Round Lake, IL","5","Dec 2024 • Family","Great service!","Great experience flying from Miami to Bimini. One way was a water landing with a seaplane, and the return flight was on a regular charter to Opa Executive Airport.<br />From the reservation (excellent communication with Janos) to the day of departure, both flights were fantastic. Both pilots were great, and we had a wonderful time and a lot of fun. We will definitely use this service again!","Family","0","","Written January 27, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"WnC","https://www.tripadvisor.com/Profile/WnC2000","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg","","5","Jan 2025 • Couples","Excellent Experience","The reservation and check in process was a bit sketchy, but it is worth the hassle. We opted for the 30-minute North Biscayne tour.  After figuring out the parking situation, we waited in what appeared to be hotel lobby. Our flight time came and went, we were nervous. Then the tour guide arrived. He apologized for the wait. He led us out to the marina and asked us to sit in a waiting area for a few minutes while he shuttled a couple ahead of us. Upon his return, he led us to a mid-sized boat and ferried us out to the middle of the bay. It was really cool to see the seaplane come in for a landing and then meet up with the boat in the middle of the bay. The boat ride in the bay was added value. The people in the plane jumped in the boat and then we loaded into the plane. It was a Cessna 172 Skyhawk Seaplane. A little older but very well maintained. Our pilot was friendly and very professional. He explained everything he was doing and all the safety features. Our take off was exciting. Our flight was at the end of the day, and we were able to see an absolutely amazing sunset behind the Miami skyline. We flew over the Biscayne National Park. Our pilot narrated the trip the whole way. We flew over the big cruise ships as we approached our landing. The pilot landed the plane in the middle of the bay with a perfect landing. We then met our boat and ferried back to the marina. Our experience was fun, exciting, and well worth the price. The team was very professional. My wife and I felt very safe with the whole flight operation.  If anyone else decides to book with this company, do not worry about the check in process, it will be ok. Hang in there, it is worth it. We met the owner during this tour. He is wonderful person. This is a small company that provides a great experience.  We highly recommend this trip.","Couples","0","","Written January 5, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Gilbert and Gaston","https://www.tripadvisor.com/Profile/GilbertGaston","https://media-cdn.tripadvisor.com/media/photo-m/1280/25/07/70/4f/gilbertgaston.jpg","Nassau, New Providence Island","5","","Perfect family adventure","We can’t say enough about Miami Seaplane.  It was wonderful from start to finish. We felt safe and more than that our pilot Tony and boat captain Yanni were both delightful. They were incredibly sweet with our young children as well. We would definitely do this again and it was a memorable adventure !!","","0","","Written November 13, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Berny J","https://www.tripadvisor.com/Profile/4bernyj","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","","5","Aug 2024 • Family","Great experience","We did the 1 hour Miami tour. It was a great trip and experience we saw a lot of Miami from the air. Tony was our pilot and he could tell us everything we flew over.Nice and funny guy, thank you Tony from the family Jansen from Holland","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/14/67/11/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/14/67/10/caption.jpg","Written August 7, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Lauren L","https://www.tripadvisor.com/Profile/laurenlE5259MK","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","","1","Feb 2024 • Family","False advertising and unsafe operations","I took a chartered flight on Miami Seaplane Tours to Kamalame Cay in the Bahamas with my family, including my infant. Miami Seaplane Tour's operation was unsafe and unprofessional and put me and my family in danger.<br /><br />The transfer to Kamalame Cay was -- and still is -- advertised on their website. The Sales team promised to “be in touch with the resort about bringing you and picking you up.”<br /><br />It became clear upon nearing the hotel that this operator is not familiar with transferring hotel guests to Kamalame Cay and has never been in touch with the hotel. The pilot circled and seemed unsure of where to land. He did not fly with a radio so could not contact the hotel. He ultimately decided to touch down in a shallow area where planes are not meant to land. The situation was unsafe and the plane became beached. The hotel staff and my spouse had to get in the water and tow the plan to a safe, deeper water where a boat could pick us up (while my baby cried).<br /><br />Naturally, I contacted Miami Seaplane Tours to cancel our return flight and request a partial refund. They refused to issue the refund. In fact, they wouldn't even acknowledge the circumstances and sent bizarre emails in response to my requests (""Glad to hear from you Lauren! 😃 We'll see you at 14:00 tomorrow. Weather is supposed to be outstanding. ☀️"").<br /><br />This operator falsely advertised a service and put our family at risk.","Family","0","","Written August 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Christine G","https://www.tripadvisor.com/Profile/christinegZ5955EG","","Bethesda, MD","5","Mar 2024 • Couples","A memorable trip by seaplane to Key West","My husband and I did the Key West excursion with pilot Adrian at the helm.  It was fantastic!  Adrian was incredibly knowledgeable about the history and ecosystem of the Keys and an excellent pilot, too.  He seemed to have a deep connection to the area and it made the trip especially memorable.  We want to return and fly to another destination soon.  We will recommend this to all our friends far and wide.  Many thanks.<br /><br />Christine and John Gordon","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/b5/d2/3c/caption.jpg","Written March 25, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"ISABELLE R","https://www.tripadvisor.com/Profile/M9531DUisabeller","","","5","Jan 2024 • Couples","Brilliant driver, unforgettable experience. To do and redo urgently!","The views were magnificent, the guide friendly, the pilot very comfortable and competent! Passengers just need to be able to interact with the pilot using a microphone placed on the helmet. Magnificent experience!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/28/9f/1a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/28/9f/19/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/28/9f/18/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/28/9f/17/caption.jpg","Written January 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Kelly M","https://www.tripadvisor.com/Profile/S8209DZkellym","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg","","5","Dec 2023 • Family","Wow! Simply mesmerizing.","WOW. Simply amazing. Our pilot’s enthusiasm was like a kid at Christmas. His knowledge of the history and current issues of the Keys was unlimited. We did the trip to Islamorado and wanted to do it again as soon as it ended. We were in expert hands with the local pilot with over 25 years of experience. His narrative was mesmerizing and gave us a whole new appreciation for the beauty of the area and how important it is to preserve it. Thanks for a day we will never forget!","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/1f/38/32/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/1f/38/31/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/1f/38/30/caption.jpg","Written December 31, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
