"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Ben Kebab","https://www.tripadvisor.com/Profile/benkebab","https://media-cdn.tripadvisor.com/media/photo-s/06/02/74/ea/benjamin-f.jpg","Paris, France","4","","A beautiful flight in the setting sun","The flight itself is really spectacular if the weather is with you. We enjoyed walking along the coast at sunset.<br />Things to improve: a nominative welcome. There you wait and at the last moment you fill out papers as if you were not registered.<br />Communication on board: you can barely hear what the pilot says, he makes no effort. Helmets are attached to the back of the seat limiting your movement.<br />The plane looks dilapidated","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/86/f7/caption.jpg","Written January 4, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Daniel J","https://www.tripadvisor.com/Profile/J3108GXdanielj","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg","","5","Nov 2024 • Couples","Best Experience Ever!!","Best flight tour in Miami!! Great pilot and communication as well as the customer service super fast.<br />We really enjoyed and had a great time<br />Five Stars service⭐️⭐️⭐️⭐️⭐️Totally recommend it!!","Couples","0","","Written November 18, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jay l","https://www.tripadvisor.com/Profile/jaylP7NW","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg","","5","Mar 2024 • Couples","Incredible Experience","the service was awesome.. pilot had so much knowledge and was so friendly.<br />airplane is small Cessna 172 but it was nice.<br />everything went great and the accommodation 10/10","Couples","0","","Written April 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jonna H","https://www.tripadvisor.com/Profile/JonnaH216","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","5","Mar 2024 • Couples","Unforgettable experience","This was an unforgettable experience, the pilot was really professional and had a safe way of operating.<br />I recommend this experience for everyone.","Couples","0","","Written March 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Demi H","https://www.tripadvisor.com/Profile/demih559","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","5","Feb 2024 • Couples","One of the best days ever !","One of the best experiences ever ! The pilot made the flight perfect and was extremely knowledgeable and made us feel really safe. We booked it at sunset and had the best views and made my 21st birthday unforgettable. Don’t hesitate to book the price is the cheapest in Miami the best tour ever !!!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2b/82/f2/0f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/82/f2/0d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/82/f2/0c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/82/f2/0b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/82/f2/0a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/82/f2/09/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/82/f2/08/caption.jpg","Written February 26, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jaizam","https://www.tripadvisor.com/Profile/Inspiration399549","https://media-cdn.tripadvisor.com/media/photo-o/2b/0e/8b/9d/caption.jpg","Saltillo, Mexico","5","","Amazing air tour","Excellent experience and<br />Very good attention from the flight staff. We were served with efficiency and effectiveness. The views of Miami that we had were incredible, half an hour was enough to see all of Miami; The guide in Spanish is very complete.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2b/22/55/61/caption.jpg","Written January 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Mikaella N","https://www.tripadvisor.com/Profile/404mikaellan","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","","5","Nov 2023 • Couples","Best activity in Miami!!","Our trip was beyond amazing, the guys at Eagles Air tours were really friendly and professional!! Our pilot was helpful and explained us everything throughout. We even got free pictures of our trip! 5 stars are not enough!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2a/e2/dd/32/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2a/e2/dd/31/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/e2/dd/30/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2a/e2/dd/2f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2a/e2/dd/2e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/e2/dd/2d/caption.jpg","Written November 25, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Abdelhalim B","https://www.tripadvisor.com/Profile/249abdelhalimb","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","","5","Nov 2023 • Couples","A special trip with a nice pilot","It was a wonderful experience with the pilot. He was nice to us and carefully explained to us all the details of the trip. When we finished, I took a souvenir photo with him . We really enjoyed the trip. I hope to repeat it next time.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/de/91/d7/private-30-minute-south.jpg","Written November 22, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Kadina A","https://www.tripadvisor.com/Profile/kadinaa","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","","5","Nov 2023 • Solo","Great experience ","Great experience ! Worth the try and you won’t regret it . Diego was awesome , super nice and friendly . The view was amazing and ride was smooth. ","Solo","0","","Written November 19, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Lisa E","https://www.tripadvisor.com/Profile/lisaeM4064FP","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","","1","Nov 2023 • Friends","Steer Clear!","We were supposed to go on a 30 minute flight over Miami. It was raining and windy that day, si I called the company 3x to see if I should head out to the airport. NO response.  10 minutes before the flight, I emailed the company from the airport and they finally called me tonsay my flight was cancelled. I wasted $70 on an uber ride to the airport and almost the same amount to get back to south beach because of their poor communication ","Friends","0","","Written November 16, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
