"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"JoeSausalito","https://www.tripadvisor.com/Profile/JoeSausalito","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg","","5","Feb 2025 • Family","I must do trip!","Whether you are visiting from out of town or just a local, this adventure is great fun. We have now taken it twice and look forward to doing it again this summer! ","Family","0","","Written February 8, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Christine A","https://www.tripadvisor.com/Profile/N1593CIchristinea","","","5","Jan 2025 • Couples","Fun!","Amazing views! We loved it! Very safe. We are locals but loved seeing our home from above!!!!   Beautiful day! San Francisco and all of Marin and the coast.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/75/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/74/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/ad/3b/73/caption.jpg","Written January 27, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"SSMA80","https://www.tripadvisor.com/Profile/SSMA80","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg","San Francisco, CA","5","Jan 2025 • Family","Fabulous for locals and visitors alike","The seaplane tour is such a special and unique experience, and one I'd recommend for locals as well as visitors. If you live in the Bay Area you will see many familiar sights from a totally new vantage point. The views are incredible (bring a camera) and the pilot is knowledgeable and experienced. I felt totally safe and at ease and my kids especially loved it, as they've been begging to go on the seaplane for months.","Family","0","","Written January 26, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"ricky f","https://www.tripadvisor.com/Profile/391rickyf","","","5","Jan 2025 • Couples","San Francisco helicopter experience","Great experience, John the pilot was superb and his knowledge during the tour was exceptional. On the day the shuttle service broke diwn and we was asked to get a taxi and the cost would be reimbursed ( still waiting 3 weeks later)  On our arrival we asked if was a chance of a coffee and was told no but if we went into town we could get one . This didn't distract that the experience was brilliant but it is just the little things that let it down","Couples","0","","Written January 16, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Alison Q","https://www.tripadvisor.com/Profile/390alisonq","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","","5","Dec 2024 • Family","Exciting views!","Our Seaplane Adventures trip was great! The staff was friendly and helpful. The views from our plane were spectacular, giving us a whole new and exciting perspective on the San Francisco Bay Area.","Family","0","https://media-cdn.tripadvisor.com/media/photo-o/2e/42/4e/c3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2e/42/4e/b0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2e/42/4e/af/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2e/42/4e/ae/caption.jpg","Written December 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Scott D","https://www.tripadvisor.com/Profile/M5404QXscottd","","","5","Nov 2024 • Couples","Best Experience Ever in SF","What a fantastic tour. Incredible views, very fun and exciting. Staff was great, pilot was great! We did the one hour flight. It was perfect. Well worth every penny. I highly recommend.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/3e/e3/e9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/3e/e3/e8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/3e/e3/e7/caption.jpg","Written November 30, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Aurélie C","https://www.tripadvisor.com/Profile/167aur_liec","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","Saint-Raphael, France","5","","Amazing experience !","We did the Golden Gate flight, the pilot and the team were really nice, the flight were beautiful, we saw the whole San Francisco Bay, we recommand this unforgettable activity !","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/32/56/39/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/32/56/38/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/32/56/37/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/32/56/36/caption.jpg","Written November 23, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"808Olena808","https://www.tripadvisor.com/Profile/808Olena808","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","Honolulu","2","Oct 2024 • Couples","Underwhelming","This trip came highly recommended from good friends. Unfortunately we did not have the same good experience they had. It was a cloudy day and we received a call that the tour would be canceled due to poor visibility. Then a half hour later got a call that the pilot came back and said it was clear and the tour was back on. So we showed up. This was supposed to be the greater bay area tour. I was told when i booked it we would go up the coast toward Sonoma. In short our tour ended up being Emeryville, the Richmond Bridge and the prison. - basically the same as my commute to work. We did see a look of Mt Tam, but no SF sights at all and no coastline. Underwhelming. I think that the operators should have us back on a clear day so we can have a better experience for the $$$ we paid.","Couples","0","","Written November 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"oregonduckbrad","https://www.tripadvisor.com/Profile/oregonduckbrad","https://media-cdn.tripadvisor.com/media/photo-o/07/b9/7b/c7/oregonduckbrad.jpg","San Francisco, CA","5","Nov 2024 • Couples","If you're on the fence, do it!","Amazing experience! The staff was super knowledgeable and friendly, and the perspective we gained on the Bay Area was phenomenal. Jonathan, who helmed our helicopter tour, knew a lot about what to point out, and struck us as very safety-conscious. Go here! It's quite the experience.","Couples","0","","Written November 17, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"lisagrecia2162","https://www.tripadvisor.com/Profile/lisagrecia2162","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Bridgetown, Barbados","5","Nov 2024 • Couples","Seaplane Trip over San Francisco","A fantastic sea plane trip around the San Francisco Bay, with a flyover of the Golden Gate Bridge and the city.<br />Exceptionally friendly staff and pilot.<br />Highly recommended.","Couples","0","","Written November 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Charles R","https://www.tripadvisor.com/Profile/charlesrZ5655NX","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg","","5","Oct 2024 • Family","Spectacular air tour.","The greater bay area Seaplane tour enables its passengers to get a spectacular view from the air, to see the scale and beauty of San Francisco. My family members and I thoroughly enjoyed it! well worth the price in my humble opinion. I would highly recommend.","Family","0","","Written November 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Antje S","https://www.tripadvisor.com/Profile/448antjes","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","","5","","The Seaplane Adventure","Our pilot was very nice and did a great flight, around San Francisco, Sausalito , golden Gate Bridge and Alkatraz…. Thank you so much","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/c2/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/c1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/c0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/bf/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/fd/47/be/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/bd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/fd/47/bc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/fd/47/bb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/fd/47/ba/caption.jpg","Written November 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Lisa G","https://www.tripadvisor.com/Profile/lisagX2648JQ","https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/a7/avatar078.jpg","Willenhall, UK","5","","Fantastic trip!!!!","Omg this was our best trip!! We loved it. After checking in and a short but necessary safety briefing we were given Wellington boots to walk to the plane. The tide was in a little so they saved our shoes getting wet. The pilot was very friendly and informative. We shared our flight with another couple. There are 6 seats including the pilot. You get a headset with microphone each. The flight was very smooth considering its a small aircraft. The views were amazing. The bay, city, woods, sea, coast, bridge. Lasted 45 mins as described. It was so exciting. I would definitely recommend doing it.","","0","","Written October 28, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Elizabeth W","https://www.tripadvisor.com/Profile/V3745BBelizabethw","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","","5","Oct 2024 • Family","One off experience must do","Absolutely amazing the views were incredible.<br />Pilot shared amazing history of the city.<br />Would do it again in a heartbeat","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/bc/67/87/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/bc/67/86/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/bc/67/85/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/bc/67/84/caption.jpg","Written October 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Carl Pas","https://www.tripadvisor.com/Profile/carlettOpas","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","Turin, Italy","5","","Unforgettable 💥flight ✈️🎊🎈🎉highs 🔝😃🤙🏼🤩👍🏻😋","The experience was very nice, exciting and exciting!!! Definitely special also because the agency team and the driver are very prepared, kind, welcoming and nice)))<br />Above all it is an event to try at least once in a lifetime <br />Highly Recommendation to try","","0","","Written August 20, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Mary A","https://www.tripadvisor.com/Profile/905marya","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg","","5","Aug 2024 • Friends","SF Bay Area view from above","I would HIGHLY recommend taking this tour if you can. It is a wonderful experience seeing the bay area highlights - Alcatraz, Oracle Park and Golden Gate bridge to name a few - from a helicopter! Our pilot and the staff were fabulous, friendly and very helpful.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/21/5e/c9/caption.jpg","Written August 12, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Annka1206","https://www.tripadvisor.com/Profile/Annka1206","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","San Francisco, CA","5","Aug 2024 • Family","Immortal impressions of San Francisco from the air","We were lucky enough to take off by helicopter in sunshine. The pilot John flew us safely to the Golden Gate Bridge, which we could see almost completely, only a few clouds were in front of it.<br />Then we continued over Alcatraz and then over the city. He told us a lot of insiders and we were just impressed. On request John also stopped again or turned the helicopter so that we could take the perfect pictures.<br />We felt very well looked after and safe with him.<br />All in all a great experience!","Family","0","","Written August 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"TauntonBob","https://www.tripadvisor.com/Profile/TauntonBob","https://media-cdn.tripadvisor.com/media/photo-o/04/01/5c/c3/tauntonbob.jpg","West Parley, UK","5","Jul 2024 • Couples","Awesome!","Our son had promised us this for our last Christmas present, but we were only just able to collect.<br /><br />What a lovely experience with an interesting and amusing commentary from our pilot.  A great way to see the sights of SF from, literally, a different angle.","Couples","0","","Written August 7, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"ziggyah","https://www.tripadvisor.com/Profile/ziggyah","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","","5","Aug 2024 • Solo","Great!!","Epic flight with epic views and such a wonderfully different perspective of the Bay Area. Highly recommend a flight with sea plane adventures and the pilots and the staff were very cool and helpful.","Solo","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/0d/5c/75/caption.jpg","Written August 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"robs8","https://www.tripadvisor.com/Profile/robs8","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg","Philadelphia, PA  USA","5","Jul 2024 • Family","Expensive, but great experience","The staff were pleasant and the pilot good.  The 20 minute trip around the bay was sufficient for us.  We had the least expensive tour (which was still very expensive) and I would expect that most people would not need more time in the air.<br /><br />Flight was a little bumpy (turbulence in flight), and the takeoff and landing nice and smooth.  My son felt a little queazy near the end, but never needed an airbag.","Family","0","","Written August 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Gary B","https://www.tripadvisor.com/Profile/garybH4150TM","","","5","","Float Plane Tour","Great view of Sausalito, San Francisco Bay and the city. You fly along the coast at about 1000’ looking at the sites then you gain a little altitude and go across the city viewing Golden Gate Park and the Presidio. You end up South of the Golden Gate Bridge over the Pacific Ocean. On the way back home you fly directly over the bridge and back to base. On a clear day it is a pretty spectacular 30 minutes.","","0","","Written July 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dirk D","https://www.tripadvisor.com/Profile/W742WQdirkd","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","","5","","Must have made!","Highly recommended. Unforgettable experience. It's really worth the money.<br />We had Fisherman’s Wharf pick us up by shuttle. Prior confirmation via WhatsApp. Everything worked out perfectly.","","0","","Written July 9, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Benjamin","https://www.tripadvisor.com/Profile/BenjaminK261","https://media-cdn.tripadvisor.com/media/photo-o/29/6e/33/bc/caption.jpg","Basel, Switzerland","5","","What an experience!","I was really nervous at the beginning it was my first seaplane ride and let me say it was beyond everything. Very professional highly motivated crew and groundstaff with a very experienced and funny pilot. It was definitly worth every doller.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/c9/cf/e1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c9/cf/e0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c9/cf/df/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c9/cf/de/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c9/cf/dd/caption.jpg","Written July 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ther6kid","https://www.tripadvisor.com/Profile/ther6kid","https://media-cdn.tripadvisor.com/media/photo-s/0e/86/e1/10/external-avatar.jpg","","5","Jun 2024 • Couples","San Francisco Bay flight","Had a wonderful flight around the bay and up the north coast of California our pilot was excellent at pointing the land marks along the way<br />A definite must do if you can afford it","Couples","0","","Written June 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dawn L","https://www.tripadvisor.com/Profile/A3736YKdawnl","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","","5","Jun 2024 • Couples","Out of this world","Really enjoyed our experience on the seaplane so much more we could see by air totally amazing experience and would definitely recommend this to friends and family who visit","Couples","0","","Written June 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"JohnGro","https://www.tripadvisor.com/Profile/JohnGrochowski","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","5","Jun 2024 • Couples","Highly recommended!","Simple fast, uncomplicated communication. Flexible rebooking is even possible. Dear Lauren also arrived on time and picked us up and drove us back again.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/ab/48/05/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/ab/48/04/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/ab/48/03/caption.jpg","Written June 26, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Selda B","https://www.tripadvisor.com/Profile/bselda","https://media-cdn.tripadvisor.com/media/photo-o/1b/7a/56/62/caption.jpg","Istanbul, Türkiye","5","Jun 2024","Lovely experience","This is gift for my birthday to myself! And i love it, city looks so georgous! Thanks a lot our pilot!","","0","","Written June 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"sam s","https://www.tripadvisor.com/Profile/M8855GSsams","","","5","Jun 2024 • Couples","Seaplane Flying over SF Bay ","It was a wonderful day and a memorable experience in a seaplane flying over SF Bay.  The pilot John was nice and professional, we enjoyed this one very much and we highly recommend it to you. ","Couples","0","","Written June 16, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"John G","https://www.tripadvisor.com/Profile/O509YAjohng","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","Shipley, UK","5","Jun 2024 • Friends","The only and best way to see San Francisco","What a great experience from the moment we arrived they couldn't have done more for us , really knowledgeable,  friendly","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/7c/f3/21/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/7c/f3/20/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/7c/f3/1f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/7c/f3/1e/caption.jpg","Written June 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"saffy80","https://www.tripadvisor.com/Profile/Carlya1980","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","","5","May 2024 • Couples","Incredible experience","It was an absolutely amazing experience. Saw so much in a short space of time ..The views were spectacular. Well worth the money.","Couples","0","","Written May 28, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"max_on_tour","https://www.tripadvisor.com/Profile/max_on_tour","https://media-cdn.tripadvisor.com/media/photo-o/14/f7/a1/0c/max-on-tour.jpg","Düsseldorf, Germany","5","May 2024 • Couples","Great experience, definitely recommended!","Super friendly and professional team on site, very well-maintained aircraft and a unique experience! We enjoyed every single minute of the 45-minute Great Bay tour. The route was very well chosen, you fly over the Golden Gate, past Alcatraz and further along the coast. The pilot also played tour guide and explained a few things. We had a great time and I would recommend these sightseeing flights to anyone!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/38/0f/20/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/38/0f/1f/caption.jpg","Written May 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Fearless51090940255","https://www.tripadvisor.com/Profile/Fearless51090940255","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg","","5","Apr 2024 • Solo","BEST BIRTHDAY FLIGHT!!!!","Best Birthday Flight!    So happy I decided to celebrate my Birthday with Aero Adventures!  Thank you Marylee, Anna, John and Ren for making the day so special.   Nothing can compare to flying over SF and the Golden Gate.  I have sailed under the Golden Gate but there is something truly special SOARING over the Golden Gate!  Floating along the Bay preparing to take-off (engine ROARING) is magical.  I can't wait for my next Flight!     -E.A.H.-Lockhart a.k.a jumpjet","Solo","0","","Written May 9, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"dylanjefferies","https://www.tripadvisor.com/Profile/dylanjefferies","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","boulder, co","5","Apr 2024 • Couples","Wonderful experience... even for locals","Aaron is a terrific pilot, host.  I've lived in Marin for most of my life, yet learned so much from him about history.  The views were, of course, dramatic, but Aaron's voiceover and piloting skills were the magical glue.  Highly recommend.","Couples","0","","Written April 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"SAO","https://www.tripadvisor.com/Profile/StephanieAmbreOlympe","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg","Paris, France","5","Apr 2024 • Family","Unique and unforgettable experience!","Unique and unforgettable experience!<br />I did it 20 years ago and wanted to make my teenage daughters experience it.<br />It's still so magnificent, the San Francisco Bay site is so worth flying over and doing it in a seaplane is great.<br />The team is fantastic: the super professional pilot, the reception staff. They are very friendly and accommodating.<br />We remember it all our lives, don't hesitate!","Family","0","","Written April 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Gabrielle A","https://www.tripadvisor.com/Profile/582gabriellea","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg","","5","Apr 2024 • Couples","Beautiful tour in a classic seaplane","Staff were all very friendly and helpful.  Pilot was kind and professional and made the tour interesting.  The plane was beautiful!","Couples","0","","Written April 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
