"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Eva L","https://www.tripadvisor.com/Profile/O2758AGeval","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","","5","Jan 2025 • Friends","Amazing view!!","We were recommended of the place on the day of the tour, and decided to give it a shot. We get clear sky which gives us extremely beautiful view!! So stunning that it even looks fake or those from magazines. I do carry a professional camera and I was able to get some really amazing pictures. I had some motion sickness but I managed to pull through without feeling too ill afterward. The pilot was really experienced and I felt safe for the whole time. He also gives us some brief introductions of what we are seeing. Overall, incredible experience and amazing for how much we could see in an hour. It is pricey, but honestly given how small the plane is (and we even get our private tour for how empty the winter season is), that is totally understandable. Would definitely recommended!","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/82/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/81/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/7c/31/80/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/7c/31/7f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/7e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/7d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/7c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/31/7b/caption.jpg","Written January 4, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Judy G","https://www.tripadvisor.com/Profile/judyg428","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Foote, MS","5","","Wonderful experience ","This is my second time to be here. I did not fly this time but have in the past.  Two of our group flew and was awestruck by the beauty of Denali.  It was a great experience for them.  I was amazed by its beauty when I flew. The pilot was Dorothy . She was very personable and informative.  Definitely a do again.  Two of us stayed in the office building and Mandi was very friendly and nice. We enjoyed the fire and refreshments while we waited ","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/52/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/51/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/50/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/4f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/4e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/50/98/4d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/50/98/4c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/50/98/4b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/50/98/4a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2e/50/98/49/caption.jpg","Written December 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"mick9898","https://www.tripadvisor.com/Profile/mick9898","","Tampa, FL","5","","Exceed all expectations.","Amazing trip, facilities 1st class, super organized and professional. Very nice facility. This is not a fly by night company (pun intended).  Merchandise at facility reasonable priced. I can’t say enough positive things about operations and excursion,","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/e2/e1/19/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/e2/e1/18/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/e2/e1/17/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/e2/e1/16/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-s/2d/e2/e1/15/caption.jpg","Written October 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dennis A","https://www.tripadvisor.com/Profile/denans779","https://media-cdn.tripadvisor.com/media/photo-s/06/0d/44/3a/dennis-a.jpg","Port Washington, WI","5","","My experience","Very customer friendly.  Support staff when checking in very helpful.  Pilot did a great job answering any and all questions.  Would definitely fly with with them again and wholeheartedly recommend them.","","0","","Written October 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Priyanka S","https://www.tripadvisor.com/Profile/M3206OEpriyankas","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","5","","Amazing experience","It was the best decision to take up this tour with them . Very experienced crew and very thorough planning for the flight keeping weather in mind and everyone’s safety . The pilot made sure we get the best views and pictures .","","0","","Written September 26, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jerod G","https://www.tripadvisor.com/Profile/jerodg487","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg","","5","Aug 2024 • Family","A cannot miss experience!","The flight over the Alaskan range was amazing!  We had booked the glacier landing experience, but weather did not permit it.  We knew that and appreciated the attention to safety.  It was still a great experience!  Excellent pilot, great planes, and the onboard narrative was good.  Would book it again, no question!","Family","0","","Written September 23, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Voyage28793738505","https://www.tripadvisor.com/Profile/Voyage28793738505","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","","5","Sep 2024 • Friends","Best Denali day","The only way to truly see Denali. Best overall glacier viewing and photo ops. Weather can be a factor but flight was amazing and pilot very knowledgeable.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/76/78/65/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/76/78/64/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/76/78/63/caption.jpg","Written September 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Holly E","https://www.tripadvisor.com/Profile/768hollye","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","","5","Sep 2024 • Family","Trip of a lifetime!","Must do!!! Jack was our pilot and he was amazing! We flew up and over the top of Denali! We were amazed by the mountain and scenery. Jack also did an amazing job landing on a glacier in Denali. Definitely book your flight with K2Aviation! You will NOT regret it!","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/65/3a/de/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/dc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/db/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/65/3a/da/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d4/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/65/3a/d2/caption.jpg","Written September 7, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ray R","https://www.tripadvisor.com/Profile/Odyssey63974361273","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","","5","Sep 2024 • Family","Best part of the vacation","The most amazing thing I have ever done <br />The pilot was very informative <br />Everything was amazing the whole flight take off to a flawless landing","Family","0","","Written September 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Angie L","https://www.tripadvisor.com/Profile/angielG5787WQ","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","","5","Sep 2024 • Couples","Amazing experience","Absolutely beautiful views. Was originally to do a glacier landing but weather was not permitting. Our pilot, Josh, was awesome…. And looked a bit like Tom Cruise:)","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5b/66/fc/caption.jpg","Written September 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
