"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"terryfl1","https://www.tripadvisor.com/Profile/terryfl1","https://media-cdn.tripadvisor.com/media/photo-s/05/0c/0d/9b/terryfl1.jpg","orlando florida","5","Sep 2024 • Couples","Incredible experience and views.  Add this to your Alaska bucket list.","This was a last minute decision and so glad we did it.  Cory was super helpful and the entire staff was incredibly friendly.  Our pilot Tim was great, offering just the right amount of narration and a great playlist.  The views were spectacular and the glacier landing was very cool.  All and all I would highly recommend this company and this experience.","Couples","0","","Written September 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Melissa A","https://www.tripadvisor.com/Profile/X3235TTmelissaa","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","5","Sep 2024 • Family","Worth every penny!","Worth every penny! Outside of major life events this is a highlight of our life experiences. Asa was a great pilot along with Danielle (pilot in training) and Corey was very friendly and helpful in the office. We wanted to go on another flight immediately. 😁","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/76/d2/ef/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/76/d2/ee/caption.jpg","Written September 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Nate B","https://www.tripadvisor.com/Profile/nateb32","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/4d/2e/43/nateb32.jpg","Marietta, GA","5","Sep 2024 • Couples","Don't Miss this Chance to See Denali","This is a very special experience, if the weather cooperates.  The team at TAT was great at finding a time to reschedule us so that we could make it happen.  The pilot was great, the ride felt safe at all times, and the chance to see Denali, the glaciers, and so on was fantastic.  That we landed in about a foot of fresh powder snow was a blast.  Did not anticipate being able to have a snowball fight in September.","Couples","0","","Written September 13, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Kevin M","https://www.tripadvisor.com/Profile/kevinmX5599NY","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","","5","Sep 2024 • Couples","BLESSED!!!","It could not have been a better experience. The views, the knowledge shared, the glacier landing!!!  I was blessed to be able to have this experience!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/6c/af/86/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/6c/af/85/caption.jpg","Written September 9, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Go56321299405","https://www.tripadvisor.com/Profile/Go56321299405","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg","","5","Aug 2024 • Couples","Experience of a lifetime","A once in a lifetime experience for sure. Landing on a glacier way away from any civilization was mind-blowing. The only sounds were the ones I made walking on the snow/ice. We flew with Paul. Had no idea who he was until after, when I googled the outfit. Weather prevented us from flying the north side of Denali. I had not noticed. The company refunded us for that portion of the flight without us asking or even knowing. High level of integrity, all I can say. Lovely experience. Will recommend to anyone that travels near you!","Couples","0","","Written September 9, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Clare S","https://www.tripadvisor.com/Profile/285clares","https://media-cdn.tripadvisor.com/media/photo-f/01/2a/fd/91/avatar.jpg","","5","Aug 2024 • Family","The most epic day ever","I’ve been living in Alaska for two years and this takes the cake for one of the coolest experiences I’ve had so far. The Talkeetna Air team was incredibly accommodating and professional assisting my cousin who is a paraplegic load the aircraft. Our pilot Tim was so skilled and was a great guide. We had a fantastic time and I would recommend to anyone visiting Alaska.","Family","0","","Written September 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Relax62186325565","https://www.tripadvisor.com/Profile/Relax62186325565","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","5","Sep 2024 • Family","Best trip ever","one of the best things we have ever done.  Amazing views and landing on the mountin was a plus<br />OUr pilot was great. He gave a non stop summary of the mountin ranges  we were flying  over <br />Never in my life did I think I would be standing on top  of the world<br />I would do this again in a heart beat","Family","0","","Written September 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"tellnolies","https://www.tripadvisor.com/Profile/tellnoliesdayton","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Dayton, OH","5","Sep 2024 • Family","The greatest tour on earth","signed up for the summit tour but they called 2 hours before and said they did not meet quota so we were put on the Grand Denali Tour w/ Glacier Landing. It was the most fantastic tour imaginable. Absolutely incredible. Pilot was excellent narrator.","Family","0","","Written September 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"jen95401","https://www.tripadvisor.com/Profile/jen95401","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","Santa Rosa, CA","5","","Amazing!!","Amazing! I took tons of videos and photos. We went all in with the Grand Denali Tour with Glacier Landing, and it worth the extra money. I am not sure how many flight tours I will do in my life, paying the extra to maximize the experience was worth it to me. <br /><br />I took dramamine for the flight and still got motion sickness but not too bad, so if you are prone to motion sickness I would for sure take something. <br /><br />I dressed a little too warm for the flight (leggings, t-shirt, long sleeve, long jacket and beanie) but took the jacket and beanie off during the flight. It was actually warm on the glacier because the sun was out but the pilot told us it can get cold quick if a cloud blocks the sun so I was grateful I dressed warm, as you can always layer down. You are also only on the glacier for 15-20 minutes. <br /><br />If you are doing the glacier landing, I highly recommend wearing the boots they give you for over your shoes as the snow can be pretty deep on the glacier- some people that just wore their waterproof shoes ended up with snow inside their shoes and had wet feet for the flight back. <br /><br />Such an epic experience! We took my parents, who are in their early 70s and my mother is terrified of flying - she did great - she was pretty scared during the flight but now it's all she talks about, is so proud of herself, and is open to doing a flight tour again in the future. <br /><br />Our pilot Luke made us all feel comfortable - definitely in good hands! Everyone we encountered that worked there were kind and professional - highly recommend.","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/58/d7/91/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/58/d7/90/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/58/d7/8f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/58/d7/8e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/58/d7/8a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/58/d7/89/caption.jpg","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"aw511","https://www.tripadvisor.com/Profile/aw511","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/13/39/fd/caption.jpg","Dallas, TX","5","","Best activity of our Alaska trip","Highlight of the trip! Stunning views, smooth ride. Splurge for the glacier landing if you can, it’s incredible. Also just because it’s a little cloudy on the ground doesn’t mean you won’t have pretty skies in the mountains.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/53/f9/29/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/53/f9/28/caption.jpg","Written September 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
